author	author_gender	Count
Bazan, álvaro De (1526-1588)	ambiguous	    2
Beale, Thomas	NA	    2
Beamount, Thomas	NA	    1
Bean, Charles (1675-1731)	ambiguous	    1
Bean, Joseph (1716-1784)	ambiguous	    1
Bearcroft, Philip (1697-1761)	NA	    4
Bear, John	NA	    1
Beatson, Robert (1742-1818)	ambiguous	    2
Beattie, James (1735-1803)	NA	    5
Beaufort, Louis De (1703-1795)	ambiguous	    1
Beaugé, Jean De	ambiguous	    1
Beaulieu, Luke (1645-1723)	NA	    1
Beaumarchais, Pierre Augustin Caron De (1732-1799)	ambiguous	    1
Beaumelle, La (1726-1773)	ambiguous	    1
Beaumont, John	NA	    2
Beaumont, Leprince (1711-1780)	NA	    1
Beauvais, Bertrand Poirier De (1755-1827)	ambiguous	    1
Beauvais, Charles De	ambiguous	    1
Beaver, John	NA	    1
Beckford, William (NA-1799)	ambiguous	    1
Beckham, Edward (1638-1714)	NA	    1
Beckman, Martin (NA-1702)	ambiguous	    1
Beckmann, Johann (1739-1811)	ambiguous	    1
Beck, Margaret	ambiguous	    1
Becon, Thomas (1512-1567)	NA	    1
Beddoes, Thomas (1760-1808)	NA	    3
Bede, 	NA	    9
Bede, Saint	ambiguous	    3
Bedford, Arthur (1668-1745)	NA	    2
Bedford, Samuel	NA	    1
Bedford, Thomas (NA-1653)	NA	    1
Bedford, William Russell (1613-1700)	ambiguous	    1
Bedle, John (1596-1667)	NA	    1
Bedloe, William (1650-1680)	ambiguous	    2
Beecher, Henry	ambiguous	    1
Beech, William	ambiguous	    5
Beeckman, Daniel	ambiguous	    1
Beek, J (1691-1702)	NA	    1
Beere, 	NA	    1
Behn, Aphra (1640-1689)	female	    3
Behn, Friedrich Daniel (1733-1804)	ambiguous	    1
Behr, Hans	NA	    2
Beilby, Ralph (1744-1817)	ambiguous	    1
Belcamp, Jo V	ambiguous	    1
Belfour, John	NA	    1
Belhaven, John Hamilton (1656-1708)	NA	   18
Belknap, Jeremy (1744-1798)	ambiguous	    8
Bellamy, D (1687-1788)	NA	    4
Bellamy, Joseph (1719-1790)	ambiguous	    1
Belle-isle, Charles Louis Auguste De Fouquet (1684-1761)	ambiguous	    1
Bellew, Thomas	NA	    2
Bell, Henry (1647-1711)	ambiguous	    1
Bell, John (1763-1820)	NA	    3
Bellomont, Charles Coote (1738-1800)	ambiguous	    1
Bellomont, Richard Coote (1636-1701)	ambiguous	    1
Belloy,  (1727-1775)	NA	    5
Belloy, Pierre De (1540-1613)	ambiguous	    1
Belsham, William (1752-1827)	ambiguous	   11
Belwood, Thomas	NA	    1
Bemetzrieder, Anton (1743-1817)	ambiguous	    2
Benbrigge, John	NA	    1
Bendish, Thomas (NA-1674)	NA	    2
Benedict,  (NA-1193)	male	    1
Benezet, Anthony (1713-1784)	NA	   10
Benfield, Paul (1740-1810)	ambiguous	    2
Benlowes, Edward (1603-1676)	NA	    2
Bennet, Benjamin (1674-1726)	ambiguous	    3
Bennet, Dorcas	NA	    1
Bennet, Henry	ambiguous	    1
Bennet, Isaac	NA	    1
Bennet, John (NA-1627)	NA	    2
Bennet, Joseph	ambiguous	    1
Bennet, Robert (1605-1683)	ambiguous	    1
Bennet, Thomas (1673-1728)	NA	    1
Benningfield, W	NA	    1
Benoist, Elie (1640-1728)	ambiguous	    1
Benson, George (1699-1762)	ambiguous	    5
Benson, Gervase (NA-1679)	ambiguous	    2
Benson, William (1682-1754)	ambiguous	    3
Bentham, Edward (1707-1776)	NA	    5
Bentham, Jeremy (1748-1832)	ambiguous	    2
Bentivoglio, Guido (1577-1644)	male	    5
Bentley, Richard (1662-1742)	ambiguous	    4
Bentley, Thomas (1775-1819)	NA	    1
Bentley, Thomas Richard (1748-1831)	ambiguous	    3
Bentley, William (1699-1751)	ambiguous	    5
Bently, John	NA	    1
Benyowsky, Maurice Auguste (1746-1786)	ambiguous	    1
B Ep, 	ambiguous	    1
Béraud, Paul-emilien (1751-1836)	NA	    1
Béraud, Paul-emilien (1751-1836)	NA	    2
Berault, Peter	NA	    1
Berault, Pierre	NA	    1
Beresford, John (1738-1805)	NA	    5
Bergasse, Nicolas	NA	    2
Bergeville, 	NA	    1
Bergman, Torbern (1735-1784)	male	    2
Beridge, John	NA	    1
