gatherings	original_extent	final_pagecount	Count
4to	[2], 6, p.	8	   5
8vo	[8], 229, [1] p.	238	   5
4to	[8], 59, [1] p.	68	   5
4to	[2], 27, [1] p.	30	   5
2fo	26, [2] p.	28	   5
4to	[2], 43, [1] p.	46	   5
4to	8, [8] p.	16	   5
4to	[2], 40 p.	42	   5
4to	[2], 64 p.	66	   5
4to	[2], 52 p.	54	   5
4to	[6], 41, [1] p.	48	   5
4to	[4], 76 p.	80	   5
2fo	28 p.	28	   5
4to	[4], 59, [1] p.	64	   5
4to	[6], 25, [1] p.	32	   5
4to	[2], 24, [2] p.	28	   5
4to	[2], 3, 6-7, [1] p.	10	   5
4to	[8], 232 p.	240	   5
8vo	18 v., plates	22	   5
12mo	v.	5	   5
4to	8 p	8	   5
2fo	9 v.	6444	   5
2fo	2, [2] p.	4	   5
8vo	10 v.	3120	   5
8vo	[2]+ p.	2	   5
8vo	viii,32p.	40	   5
12mo	76p.	76	   5
8vo	[2],23,[1]p.	26	   5
8vo	[2],90p.	92	   5
12mo	82,[2]p.	84	   5
8vo	91,[1]p.	92	   5
8vo	[8]p.	8	   5
8vo	[4],112p.	116	   5
8vo	[2],49,[1]p.	52	   5
4to	6p.	6	   5
12mo	96p.	96	   5
12mo	5v.	1037.5	   5
8vo	49,[1]p.	50	   5
4to	21,[1]p.	22	   5
8vo	[4],63,[1]p.	68	   5
12mo	56p.	56	   5
8vo	192p.	192	   5
8vo	152,151-573,[1]p.,plates	578	   5
8vo	[2],93,[1]p.	96	   5
8vo	[4],148p.	152	   5
8vo	53,[3]p.	56	   5
8vo	83,[1]p.	84	   5
12mo	180p.	180	   5
8vo	[2],78p.	80	   5
8vo	[2],44p.	46	   5
4to	55,[1]p.	56	   5
8vo	[2],48p.	50	   5
8vo	[4],18p.	22	   5
12mo	288p.	288	   5
2fo	[8]p.	8	   5
2fo	[6]p.	6	   5
8vo	[4],102p.	106	   5
4to	[2],25,[1]p.	28	   5
8vo	37,[1]p.	38	   5
12mo	22p.	22	   5
2fo	[4],8p.	12	   5
8vo	[2],59,[1]p.	62	   5
8vo	[2],16p.	18	   5
2fo	1 p.	1	   4
2fo	3-5 p.	3	   4
8vo	14, [2] p.	16	   4
NA	[2]leaves	4	   4
8vo	[8],463,[25]p.	496	   4
NA	10p.	10	   4
NA	18p.	18	   4
2fo	16p.	16	   4
8vo	[2],iii,[1],25,[26],50-69,[1];213,[67]p.,plates	386	   4
8vo	38, [2] p.	40	   4
4to	25,[1]p.	26	   4
8vo	[4],20p.	24	   4
8vo	93,[1]p.	94	   4
8vo	[2],40,[2]p.	44	   4
8vo	131,[1]p.	132	   4
8vo	112p.	112	   4
8vo	7v.,plate	2198	   4
8vo	[10],54p.	64	   4
12mo	15,[1]p.	16	   4
8vo	[2],74p.	76	   4
8vo	[2],64,[2]p.	68	   4
8vo	[2],28p.	30	   4
4to	30,[2]p.	32	   4
8vo	[2],134p.	136	   4
4to	14p.	14	   4
12mo	x,312,[12]p.	334	   4
12mo	55,[1]p.	56	   4
12mo	[16],320p.	336	   4
2fo	14p.	14	   4
8vo	vii,[1],176p.	184	   4
8vo	[2],27,[1]p.	30	   4
12mo	91,[5]p.	96	   4
12mo	7v.	1452.5	   4
8vo	224p.	224	   4
8vo	[4],215,[1]p.	220	   4
12mo	[8],219,[1]p.	228	   4
8vo	iv,504p.	508	   4
24mo	24p.	24	   4
8vo	viii,64p.	72	   4
8vo	69,[1]p.	70	   4
4to	50p.	50	   4
12mo	72p.,plate	74	   4
8vo	viii,118p.	126	   4
4to	[4],56p.	60	   4
4to	56p.	56	   4
4to	[2],10p.	12	   4
8vo	[2],15,[1]p.	18	   4
8vo	[4],91,[1]p.	96	   4
8vo	iv,140p.	144	   4
8vo	[4],151,[1]p.	156	   4
8vo	78,[2]p.	80	   4
4to	14,[2]p.	16	   4
8vo	[4],26,[2]p.	32	   4
8vo	[2],19,[1]p.	22	   4
4to	47,[1]p.	48	   4
8vo	[2],52p.	54	   4
