gatherings	original_extent	final_pagecount	Count
12mo	132p.	132	   4
4to	41,[1]p.	42	   4
NA	1 sheet (1 p.).	2	   4
2fo	[8], 271, [1]; [6], 12, 227, [3] p.	516	   4
8vo	[52] p.	52	   4
2fo	[14], 96, 105-248 p., [6] plates (4 folded)	274	   4
8vo	[60] p.	60	   4
8vo	[160] p.	160	   4
4to	[136] p.	136	   4
8vo	[192], 97, [7] p.	296	   4
8vo	[96] p.	96	   4
4to	[22] p.	22	   4
2fo	[32], 272, 39, [1] p.	305	   4
4to	[4], 9, [3] p.	16	   4
4to	[18], 37, [1] p.	56	   4
8vo	29, [3] p.	32	   4
2fo	[3] p.	3	   4
2fo	131-134 p.	4	   4
2fo	[2], 123-130 p.	10	   4
2fo	95-96 p.	2	   4
2fo	[2], 99-111, [1] p.	16	   4
2fo	47, [1] p.	48	   4
2fo	[2], 159-171, [1] p.	16	   4
NA	1 sheet (2 p.).	2	   4
2fo	2 sheets ([3] p.)	4	   4
2fo	[10], 554, [5], 556-812, [32] p.	859	   4
NA	1 sheet ([1] p.) ;c1⁰.	2	   4
8vo	79, [1] p.	80	   4
12mo	36 p.	36	   4
8vo	72 p.	72	   4
12mo	108 p.	108	   4
2fo	[2], 20 p.	22	   4
4to	[68] p.	68	   4
4to	[2], 19, [1] p.	22	   4
8vo	[22], 372, [10] p.	404	   4
8vo	30 p.	30	   4
2fo	35, [1] p.	36	   4
4to	[2], 70 p.	72	   4
4to	[8], 76 p.	84	   4
8vo	70 p.	70	   4
8vo	[2], 25, [1] p.	28	   4
8vo	55, [1] p.	56	   4
12mo	72 p.	72	   4
8vo	[8], 96 p.	104	   4
4to	[76] p.	76	   4
4to	[4], 3, [1] p.	8	   4
4to	2, [6] p.	8	   4
4to	59, [1] p.	60	   4
4to	[6], 46 p.	52	   4
4to	[2], 7 [i.e. 9], [1] p.	12	   4
4to	[2], 2, [4] p.	8	   4
4to	[4], 75, [1] p.	80	   4
4to	[6], 42 p.	48	   4
4to	[8], 54, [2] p.	64	   4
4to	[60] p.	60	   4
4to	[8], 38 p.	46	   4
4to	[4], 25, [3] p.	32	   4
2fo	14, [2] p.	16	   4
8vo	[8], 72 p.	80	   4
2fo	[4], 28 p.	32	   4
4to	[7] p.	7	   4
8vo	39, [1] p.	40	   4
2fo	[4], 35, [1] p.	40	   4
4to	[6], 50 p.	56	   4
2fo	[2], 3-12 p.	12	   4
2fo	[2], 16 p.	18	   4
8vo	63, [1] p.	64	   4
4to	[8], 39, [1] p.	48	   4
4to	[2], 39, [1] p.	42	   4
NA	32 p.	32	   4
4to	[8], 38, [2] p.	48	   4
4to	76 p.	76	   4
4to	[4], 9, [1] p.	14	   4
NA	[4] p.	4	   4
4to	34 p.	34	   4
4to	[6], 9, [1] p.	16	   4
2fo	[4], 16 p.	20	   4
2fo	[4], 31, [1] p.	36	   4
4to	[8], 55, [1] p.	64	   4
4to	[4], 26 p.	30	   4
4to	[8], 20 p.	28	   4
4to	[120] p.	120	   4
8vo	[4], 28 p.	32	   4
4to	[4], 14 p.	18	   4
4to	[8], 88 p.	96	   4
4to	[2], 7 [i.e. 6] p.	8	   4
4to	[42] p.	42	   4
8vo	[34], 549, [1] p., [1] leaf of plates	586	   4
8vo	[8], 269, [3] p., folded plate	282	   4
4to	[4], 45, [1] p.	50	   4
8vo	[12], 99, [1] p.	112	   4
2fo	[2], 38 p.	40	   4
2fo	23, [1] p.	24	   4
4to	52 p.	52	   4
4to	96 p.	96	   4
4to	[2], 58 p.	60	   4
4to	[2], 66 p.	68	   4
4to	[4], 80 p.	84	   4
8vo	239, [1] p.	240	   4
4to	[12], 66, [2] p.	80	   4
2fo	[14], 251, [1], 273, [1] p.	289	   4
4to	[2], 4 [i.e. 5], [1] p.	8	   4
2fo	[4], 11, [1] p.	16	   4
4to	5 [i.e. 8] p.	8	   4
4to	[8], 52 p.	60	   4
4to	[4], 47, [1] p.	52	   4
4to	[44], 136, 177-296, 313-400, 409-488 p.	532	   4
4to	26, [2] p.	28	   4
12mo	23, [1] p.	24	   4
2fo	v. :bill.	4	   4
8vo	5 v.	1560	   4
2long	v.	5	   4
8vo	12 v., plates	16	   4
8vo	3 v., plates	957	   4
8vo	9 v.	2808	   4
2fo	1 sheet [2] p.	2	   4
2fo	[16],581,[1]p.,plate	600	   4
8vo	[2],75,[1]p.	78	   4
2fo	20p.	20	   4
8vo	[4],83,[1]p.	88	   4
8vo	v.1 ([14],168,175-434,[18]p.),plates	470	   4
2fo	30p.	30	   4
8vo	64 p.	64	   4
8vo	6p.	6	   4
8vo	[2],76p.	78	   4
12mo	[2],357,[1]p.	360	   4
4to	[4],24p.	28	   4
8vo	[4],66,[2]p.	72	   4
8vo	[8],64p.	72	   4
8vo	[4],46p.	50	   4
4to	[4],32p.	36	   4
8vo	[2],43,[3]p.	48	   4
12mo	70p.	70	   4
8vo	iv,36p.	40	   4
8vo	5v.,plate	1570	   4
8vo	viii,376p.	384	   4
8vo	[2],82p.	84	   4
8vo	[4],104p.	108	   4
8vo	[2],ii,44p.	48	   4
8vo	25,[1]p.	26	   4
12mo	[2],xxiv,259,[5]p.,plate	292	   4
8vo	29,[3]p.	32	   4
8vo	[2],71,[1]p.	74	   4
8vo	xxxii,431,[9]p.,plates	476	   4
8vo	[4], xxiii, [1], 248, [4] p., plate	282	   4
8vo	xvi,312p.	328	   4
8vo	xvi,330,[6]p.	352	   4
8vo	[2],24p.	26	   4
8vo	[8],264p.	272	   4
8vo	7v.	2184	   4
8vo	[2],104p.	106	   4
8vo	47, [1] p.	48	   4
4to	29,[1]p.	30	   4
8vo	[2],73,[1]p.	76	   4
8vo	viii,517,[3]p.	528	   4
4to	[6], 60 p.	66	   4
4to	[2],21,[1]p.	24	   4
8vo	xxx,304,321-420p.	450	   4
8vo	61,[3]p.	64	   4
8vo	116p.	116	   4
8vo	[4],105,[1]p.	110	   4
12mo	[2],633,[3]p.	638	   4
12mo	46p.	46	   4
4to	[2],18p.	20	   4
8vo	66p.	66	   4
8vo	[2],44,[2]p.	48	   4
8vo	86p.	86	   4
8vo	[2],39,[1]p.	42	   4
12mo	[10],140,[6]p.	156	   4
8vo	[4],79,[5]p.	88	   4
8vo	[4],xxxi,[1],*4,199,[11]p.	246	   4
8vo	111,[1]p.	112	   4
8vo	[4],88p.	92	   4
8vo	[4],26p.	30	   4
8vo	[16]p.	16	   4
8vo	17, [1] p.	18	   3
2fo	1-6 p.	6	   3
2fo	89-100 p.	12	   3
2fo	59 [i.e. 99] p.	99	   3
2fo	77 p.	77	   3
2fo	8-9 p.	2	   3
8vo	32,[2]p.	34	   3
NA	22p.	22	   3
8vo	p. 17-24	8	   3
8vo	70, [2] p.	72	   3
NA	32p.	32	   3
12mo	1 sheet	2	   3
NA	[8]p.	8	   3
NA	[2]p.	2	   3
NA	36p.	36	   3
8vo	88 p.	88	   3
8vo	87, [1] p.	88	   3
2fo	vi,[1],8-264,269-700,703-723,[3]p., [60]leaves of plates (1folded)	853	   3
8vo	5,[1]p.	6	   3
NA	14p.	14	   3
NA	28p.	28	   3
NA	13,[1]p.	14	   3
8vo	25, [1] p.	26	   3
NA	47,[1]p.	48	   3
8vo	lxxii,127,[1]p.	200	   3
8vo	Pp.[2]	2	   3
8vo	10v.,plates	3160	   3
4to	[4],xxiv,464p.,plates	496	   3
12mo	118,[2]p.	120	   3
8vo	9,[1]p.	10	   3
4to	46,[2]p.	48	   3
8vo	[2],110p.,plate	114	   3
2fo	[2],4p.	6	   3
NA	2v.	17.2	   3
4to	xx,433,[3]p.	456	   3
12mo	v.1(xxvi,[4],viii,[10],312p.)	352	   3
12mo	8v.,plate	1676	   3
8vo	[2],479,[1]p.	482	   3
12mo	55,[5]p.	60	   3
8vo	[4],15,[1]p.	20	   3
8vo	[6],xxvi,575,[17]p.	624	   3
8vo	viii,[1],6-109,[1]p.	114	   3
2fo	xiv,767,[7]p.,plates	792	   3
12mo	3v.,plate	628.5	   3
12mo	xii,[2],350,[8]p.,plates	376	   3
8vo	xi,[1],80p.	92	   3
12mo	xxvi,[2],330p.	358	   3
8vo	44 p.	44	   3
4to	[2],5-29,[1]p.	28	   3
8vo	iv,83,[1]p.	88	   3
8vo	102p.	102	   3
4to	[24]p.	24	   3
4to	[10]p.	10	   3
8vo	[4],29,[1]p.	34	   3
8vo	2v.,table	628	   3
12mo	34,[2]p.	36	   3
12mo	[12],107,[1]p.	120	   3
4to	38p.	38	   3
8vo	136p.	136	   3
12mo	iv,30,[2]p.	36	   3
8vo	36,[4]p.	40	   3
4to	[4],43,[1]p.	48	   3
2fo	17,[1]p.	18	   3
8vo	[4],158,[2]p.	164	   3
8vo	viii,104p.	112	   3
12mo	viii,160p.	168	   3
4to	34p.	34	   3
12mo	28p.	28	   3
8vo	viii,[108]p.	116	   3
8vo	74,[2]p.	76	   3
8vo	89,[1]p.	90	   3
4to	[4],18p.	22	   3
4to	[4],35,[1]p.	40	   3
2fo	6v.,plates	4320	   3
8vo	107,[1]p.	108	   3
12mo	[2],398p.	400	   3
12mo	xix,[1],207,[1]p.	228	   3
8vo	iv,28p.	32	   3
4to	[2],10p.,plates	16	   3
12mo	131,[1]p.	132	   3
8vo	[4],8p.	12	   3
8vo	[4],77,[1]p.	82	   3
8vo	10p.	10	   3
8vo	[4],116p.	120	   3
12mo	19,[1]p.	20	   3
12mo	xx,147,[17]p.	184	   3
12mo	iv,230p.	234	   3
8vo	[4],34,[2]p.	40	   3
8vo	[4],53,[11]p.,tables	72	   3
12mo	71,[1]p.,plate	74	   3
12mo	10v.,plates	2115	   3
8vo	[2],122p.	124	   3
12mo	[4],viii,311,[1]p.	324	   3
8vo	[4],89,[1]p.	94	   3
8vo	[4],84p.	88	   3
8vo	[32],432,[8]p.,plates	476	   3
12mo	xii,309,[3]p.	324	   3
8vo	155,[1]p.	156	   3
8vo	vi,[110],60p.	176	   3
8vo	viii,[108],60p.	176	   3
4to	xxiv,356p.,plates	384	   3
12mo	90p.	90	   3
4to	[4],22,[2]p.	28	   3
4to	[4],23,[1]p.	28	   3
8vo	[16],199,[1]p.	216	   3
8vo	xi,[1],98,93,[1]p.	111	   3
8vo	[6],26p.	32	   3
8vo	[8],37,[3]p.	48	   3
8vo	iv,56p.	60	   3
8vo	viii,116p.	124	   3
4to	52p.	52	   3
4to	[4],74p.	78	   3
8vo	[8],40p.	48	   3
8vo	[10],65[i.e.57],[1]p.	68	   3
8vo	[4],160p.	164	   3
8vo	33,[3]p.	36	   3
12mo	63,[1]p.	64	   3
8vo	[2],80,[2]p.	84	   3
8vo	2p.	2	   3
8vo	86,[2]p.	88	   3
12mo	[8],208p.	216	   3
8vo	[8],32p.	40	   3
12mo	239,[1]p.	240	   3
8vo	[4],22p.	26	   3
8vo	[4],103,[1]p.	108	   3
4to	[2],39,[1]p.	42	   3
4to	[2],13,[1]p.	16	   3
12long	24 p.	24	   3
2fo	3 leaves.	6	   3
NA	2 leaves	4	   3
4to	[4], 17, [3] p.	24	   3
8vo	54 p.	54	   3
2fo	[10], CCC.xxii leaves	10	   3
2fo	2 v. (v.1: [8], 124 [i.e. 126], [1] leaves; 289, [1]; [8], 22, [2]; 518, [26] p.; [2], 28 leaves; 115, [9] p.; v.2: [4], 291-659, 700-981, 990-1593, [1], 1593-1876; [104] p., folded plate)	3171	   3
4to	[2], 34	36	   3
8vo	45, [3] p.	48	   3
4to	[24], 338, [14] p.	376	   3
2fo	[16], 480, [16] p., folded plate	514	   3
8vo	[256] p.	256	   3
8vo	62, [2] p.	64	   3
4to	[2], 53, [1], 7, [1] p.	57	   3
4to	39, 42-49, [1] p.	50	   3
8vo	[38] p.	38	   3
4to	[16+] p.	16	   3
8vo	[100] p.	100	   3
2fo	[18], 449, [1] p.	468	   3
4to	[4], 55, [1] leaves	61	   3
4to	[1], 7, 7-14 p.	15	   3
8vo	289, [13], 171 [i.e. 271], [9], 231, [11], 122, [6], 99, [1], 212 p.	329	   3
8vo	[50] p.	50	   3
4to	[54] p.	54	   3
8vo	[240] p.	240	   3
4to	[20], 875, [1] p.	896	   3
2fo	237-238 p.	2	   3
2fo	[2], 33-38 p.	8	   3
2fo	112-119, [1] p.	9	   3
2fo	71-76 p.	6	   3
2fo	[60] p.	60	   3
2fo	7-9, [1] p.	4	   3
2fo	1 sheet (2) p.	2	   3
8vo	[2], 22 p.	24	   3
2fo	5 p.	5	   3
8vo	1 sheet ([2] p.)	2	   3
2fo	48 p.	48	   3
12mo	[8] p.	8	   3
NA	[3] p.	3	   3
8vo	[2], 13, [1] p.	16	   3
NA	1 sheet ([2] p.).	2	   3
2fo	[2], 147-151, [1] p.	8	   3
2fo	[2], 131-143, [1] p.	16	   3
2fo	[2], 99-111 p.	15	   3
2fo	93-94 p.	2	   3
2fo	89-92 p.	4	   3
2fo	87-88 p.	2	   3
2fo	[2], 79-86 p.	10	   3
2fo	63-64 p.	2	   3
2fo	[2], 59-61, [1] p.	6	   3
2fo	[2], 43-56 p.	16	   3
2fo	[2], 7-8 p.	4	   3
2fo	[2]+ p.	2	   3
2fo	[12], 797, [1] p.	810	   3
NA	[19] p.	19	   3
4to	1 sheet (2 p.)	2	   3
4to	[2], 5 p.	7	   3
4to	[18] p.	18	   3
NA	[2], 5 p.	7	   3
8vo	[2], 42 p.	44	   3
8vo	[2], 62 p.	64	   3
8vo	78, [2] p.	80	   3
2fo	[4], cxxxvi, 355, [1], 116, [10], xci, [1] p., [5] folded leaves of plates	507	   3
4to	[8], 26 p.	34	   3
2fo	[2], 15-150, [2] p.	140	   3
2fo	18, [2] p.	20	   3
12mo	[16], 320 p.	336	   3
8vo	[10] p.	10	   3
8vo	51, [1] p.	52	   3
2fo	[3] sheets (versos blank)	6	   3
12mo	[8], 239, [17] p.	264	   3
4to	[8], 42, [2] p.	52	   3
4to	12, 11-18, [8] p.	26	   3
12mo	[28], 363 [i.e. 336], 335-653, [1] p., [1] leaf of plates	684	   3
4to	[96] p.	96	   3
8vo	[6], 73, [1] p.	80	   3
1to	1 sheets ([1] p.)	2	   3
4to	[1], 5, [2] p.	8	   3
2fo	[2], 24, [2] p.	28	   3
2fo	[2], 175-187, [1] p.	16	   3
2fo	[2], 29, [1] p.	32	   3
8vo	[4], 12 p.	16	   3
12mo	112 p.	112	   3
8vo	[4], 58, [2] p.	64	   3
8vo	[2], 11, [1] p.	14	   3
12mo	32 p.	32	   3
2fo	[2], 11, [1] p.	14	   3
8vo	14 p.	14	   3
4to	[116] p.	116	   3
4to	[8], 128 p.	136	   3
4to	7, 6-13, [1] p.	14	   3
4to	[2], 57, [1] p.	60	   3
4to	[6], 31, [1] p.	38	   3
4to	[6], 39, [1] p.	46	   3
4to	[8], 16 p.	24	   3
4to	[2], 3 [i.e. 5], [1] p.	8	   3
4to	62, [2] p.	64	   3
8vo	[4], 15, [1] p.	20	   3
4to	[8], 19, [1] p.	28	   3
8vo	[6], 74 p.	80	   3
4to	[8], 15, [1] p.	24	   3
4to	[4], 108 p.	112	   3
4to	29, [3] p.	32	   3
4to	[8], 119, [1], 20 p.	128	   3
12mo	[4], 176 p.	180	   3
4to	67, [1] p.	68	   3
4to	[2], 21, [3] p.	26	   3
4to	[6], 174, [2], 18 p.	182	   3
2fo	[4], 32, 35-56, [10] p.	70	   3
2fo	32 p.	32	   3
12mo	92 p., 93-96 leaves, 97-156, 169-216 p., [4] plates	224	   3
4to	[4], 67, [1] p.	72	   3
4to	[2], 101, [1] p.	104	   3
4to	[6], 29, [1] p.	36	   3
12mo	[12], 144 p.	156	   3
4to	[6], 166 p., [1] leaf of plates	174	   3
4to	55, [1] p.	56	   3
8vo	111, [1] p.	112	   3
2fo	[4], 34, [2] p.	40	   3
4to	[4], 22 p.	26	   3
4to	[8], 75, [1] p.	84	   3
4to	[2], 10, [2] p.	14	   3
8vo	[24], 588, [4] p.	616	   3
4to	72 p.	72	   3
4to	41, [1] p.	42	   3
NA	[2], 10 p.	12	   3
4to	[2], 60 p.	62	   3
8vo	[6], 34 p.	40	   3
12mo	[8], 136 p.	144	   3
2fo	18 p.	18	   3
8vo	43, [1] p.	44	   3
8vo	[8], 175, [1] p.	184	   3
4to	[2], 61, [1] p.	64	   3
NA	14 p.	14	   3
4to	[6], 30 p.	36	   3
8vo	[2], 46 p.	48	   3
NA	10 p.	10	   3
8vo	[16], 279, [1] p.	296	   3
2fo	[12], 689, [19] p., [1] leaf of plates	722	   3
8vo	[112] p.	112	   3
NA	5 p.	5	   3
4to	5 p.	5	   3
8vo	[16], 271, [1] p.	288	   3
4to	[5] p.	5	   3
4to	[48], 103, [1] p.	152	   3
8vo	[8], 135, [1] p.	144	   3
4to	[4], 74, [2] p.	80	   3
4to	70, [2] p.	72	   3
4to	[86] p.	86	   3
4to	[8], 46, [2] p.	56	   3
4to	[8], 26, [2] p.	36	   3
4to	11 [i.e. 12] p.	12	   3
4to	[2], 56 p.	58	   3
8vo	[8], 288 p.	296	   3
4to	[10], 199, [1] p.	210	   3
8vo	[8], 171, [13] p.	192	   3
NA	3 p.	3	   3
4to	[2], 80 p.	82	   3
4to	48, 41-59, [1] p.	60	   3
4to	[4], 83, [1] p.	88	   3
4to	62 p.	62	   3
NA	6 p.	6	   3
12mo	[6], 220 p.	226	   3
4to	[8], 51, [1] p.	60	   3
2fo	[4], 36 p.	40	   3
8vo	[4], 216 p.	220	   3
4to	[4], 60 p.	64	   3
8vo	[2], 21, [1] p.	24	   3
4to	[2], 82 p.	84	   3
4to	[8], 68 p.	76	   3
4to	[2], 3, 6-8 p.	10	   3
8vo	[12], 195, [1] p.	208	   3
4to	[6], 21, [1] p.	28	   3
4to	[2], 7 [i.e. 5], [1] p.	8	   3
2fo	[6], 104, 109-127, [1] p.	134	   3
4to	[4], 84 p.	88	   3
2fo	[2], 8, [2] p.	12	   3
2fo	28, [4] p.	32	   3
2fo	27, [3] p.	30	   3
4to	[3], 13 p.	16	   3
4to	38 p.	38	   3
4to	[4], 51, [1] p.	56	   3
4to	16, 15-22 p.	22	   3
8vo	[174] p.	174	   3
4to	8, 7-18 p.	18	   3
4to	[4], 72 p.	76	   3
4to	[4], 97, [1] p.	102	   3
4to	[6], 24, [2] p.	32	   3
4to	[4], 38, [2] p.	44	   3
4to	8, [4] p.	12	   3
4to	[6], 48 p.	54	   3
4to	[2], 14, [8] p.	24	   3
2fo	[48], 750, [42] p., [2] leaves of plates	844	   3
12mo	[20], 244 p.	264	   3
4to	[6], 23, [1] p.	30	   3
8vo	436, [12] p.	448	   3
4to	[2], 26, [2] p.	30	   3
2fo	[4], 44 p.	48	   3
4to	[2], 24, 8, 33-34 p.	36	   3
2fo	[16], cvi, [2], 728, 727-889, [49] p.	1062	   3
4to	[6], 33, [1] p.	40	   3
4to	[2], 74 p.	76	   3
4to	[2], 22 [i.e. 30] p.	32	   3
4to	[6], 65, [1] p.	72	   3
4to	[4], 17, [1] p.	22	   3
2fo	[2], 28 p.	30	   3
4to	[2], 6, 9-20 p.	22	   3
4to	[72], 376 p.	448	   3
4to	8, 7-22 p.	22	   3
2fo	[2], 34 p.	36	   3
8vo	[16], 46 p.	62	   3
8vo	1 v., plates (some fold.)	5	   3
8vo	6 v., plates	1932	   3
8vo	3 v., plates (some fold.)	957	   3
8vo	4 v., plates	1280	   3
8vo	1 v., plate	3	   3
8vo	8 v.	2496	   3
2fo	v., [1]p.	1	   3
2fo	10 v.	7160	   3
NA	1 v.	43	   3
2fo	6 v.	4296	   3
4to	[4], 53, [1] p.	58	   3
8vo	11, [1] p.	12	   3
4to	17, [1] p.	18	   3
8vo	[2], 65, [1] p.	68	   3
12mo	xii,300p.,plates	316	   3
12mo	viii,311,[1]p.	320	   3
12mo	xi,[1],311,[1]p.	324	   3
8vo	[8],143,[1]p.	152	   3
8vo	476p.,plates	480	   3
8vo	v,[3],82p.,plates	94	   3
8vo	[2],13,[1]p.	16	   3
12mo	108p.	108	   3
8vo	[8],261,[11]p.	280	   3
4to	[4],44p.	48	   3
8vo	[8],63,[1]p.	72	   3
8vo	xi,[1],608,44p.,plates	624	   3
8vo	[8],352p.	360	   3
4to	[2],34p.	36	   3
8vo	viii,100p.	108	   3
2fo	1 sheet ([1]p.)	2	   3
8vo	[16],329,[103]p.	448	   3
2fo	19,[1]p.	20	   3
12mo	75,[1]p.	76	   3
8vo	viii,149,[1]p.	158	   3
8vo	xvi,171,[1]p.	188	   3
12mo	39,[1]p.	40	   3
2fo	27,[1]p.	28	   3
8vo	[4],xxiv,32p.	60	   3
8vo	[2],106p.	108	   3
8vo	13,[1]p.	14	   3
12mo	275,[1]p.	276	   3
4to	26p.	26	   3
12mo	xi,[1],155,[1]p.	168	   3
12mo	79,[1]p.	80	   3
8vo	[4],xxxi,[1],236,4p.,plate	274	   3
8vo	vii,[1],56p.	64	   3
12mo	xii,342,[18]p.,plates	376	   3
8vo	viii,102p.	110	   3
12mo	328p.,plate	330	   3
8vo	[2],25,[1]p.	28	   3
8vo	[2],66p.	68	   3
8vo	[2],68p.	70	   3
8vo	[24],312p.	336	   3
12mo	[12]p.	12	   3
4to	[2],28p.	30	   3
8vo	iv,104p.	108	   3
8vo	[4],42p.	46	   3
12mo	124p.	124	   3
2fo	[4],348,[3],370-770p.	777	   3
8vo	45, [1] p.	46	   3
8vo	iv,67,[1]p.	72	   3
2fo	5v.,plates	3600	   3
2fo	[2],14p.	16	   3
12mo	134p.	134	   3
8vo	viii,36p.	44	   3
8vo	iv,103,[1]p.	108	   3
4to	[4],15,[1]p.	20	   3
12mo	83,[1]p.	84	   3
12mo	5v.,plate	1047.5	   3
8vo	[4],12p.	16	   3
8vo	[26],84p.	110	   3
12mo	6v.,plate	1257	   3
8vo	[4],111,[1]p.	116	   3
8vo	103,[1]p.	104	   3
8vo	70,[2]p.	72	   3
4to	[24],188,[36]p.	248	   3
8vo	17,[3]p.	20	   3
4to	17,[1]p.	18	   3
4to	[4],40p.	44	   3
8vo	viii,88p.	96	   3
8vo	59, [1] p.	60	   3
8vo	92p.,plate	94	   3
8vo	[4],102,[2]p.	108	   3
8vo	[2],5-53,[1]p.	52	   3
12mo	[4],404p.	408	   3
8vo	[2],133,[1]p.	136	   3
12mo	[2],293,[1]p.	296	   3
8vo	viii,86,[2]p.,plate	98	   3
4to	[4],16p.	20	   3
8vo	[12],317,[1]p.,plate	332	   3
8vo	[6],34p.	40	   3
2fo	[8],12p.	20	   3
8vo	[8],16p.	24	   3
8vo	viii,76p.	84	   3
8vo	[4],110p.	114	   3
8vo	[32]p.	32	   3
2fo	[2+], p.	2	   2
2fo	[2], 935-943, [1] p.	12	   2
8vo	[8], 158; [6]; 169, [3] p., [1] leaf of plate	346	   2
4to	1 sheet ([4] p., folded)	2	   2
4to	[8], 80, 12 p.	88	   2
2fo	53-66 p.	14	   2
2fo	135-144 p.	10	   2
2fo	1-20 p.	20	   2
2fo	39-49, [1] p.	12	   2
2fo	13-28 p.	16	   2
2fo	141-142 p.	2	   2
2fo	93-102 p.	10	   2
2fo	145-160 p.	16	   2
2fo	71-78 p.	8	   2
2fo	141, [1] p.	142	   2
2fo	1-7 p.	7	   2
2fo	71-74 p.	4	   2
2fo	125-128 p.	4	   2
2fo	81-93, [1] p.	14	   2
2fo	17-44 p.	28	   2
2fo	13-14 p.	2	   2
2fo	41-56 p.	16	   2
2fo	13-16 p.	4	   2
2fo	[2], 137-144, [2] p.	12	   2
2fo	[2], 117-133, [1] p.	20	   2
2fo	54, [2] p.	56	   2
2fo	5-10 p.	6	   2
2fo	? p.	4	   2
4to	[2], 443, [1] p.	446	   2
8vo	46 p.	46	   2
12mo	152 p.	152	   2
2fo	17, [13] p.	30	   2
2fo	20, [8] p.	28	   2
2fo	[2], 141-150 p.	12	   2
12mo	31, [1] p.	32	   2
4to	[2], 10, 29, [3] p.	34	   2
2fo	[10] p.	10	   2
8vo	xx,[2],426[i.e., 424],[8]p.	454	   2
8vo	60 p.	60	   2
8vo	v,[1],7-90,10p.	96	   2
NA	2p.	2	   2
12mo	46 p.	46	   2
8vo	165,[3]p.	168	   2
8vo	iv,190[i.e., 192]p.	196	   2
2fo	[2]leaves	4	   2
2fo	[2],2p.	4	   2
2fo	p. 299-300	2	   2
2fo	p. 271-272	2	   2
8vo	42, [2] p.	44	   2
1to	1/2 sheet	2	   2
8vo	[40]p., [3]leaves of plates (1folded)	46	   2
8vo	p. 41-48	8	   2
8vo	p. 33-40	8	   2
8vo	p. 9-16	8	   2
8vo	p. 65-72	8	   2
8vo	p. 57-64	8	   2
NA	5,[1]p.	6	   2
12mo	28 p.	28	   2
8vo	6, [2] p.	8	   2
8vo	20,[4]p.	24	   2
4to	iv,20p.	24	   2
12mo	55, [1] p.	56	   2
8vo	ix,[1],222p.	232	   2
NA	42p.	42	   2
8vo	[2]leaves	4	   2
8vo	3[i.e., 4]p.	4	   2
8vo	18, [2] p.	20	   2
8vo	237,[3]p.	240	   2
NA	19,[1]p.	20	   2
8vo	79,[5]p., [1]leaf of plates	86	   2
12mo	200 p.	200	   2
4to	45,[1]p.	46	   2
12mo	xvi, [1], 18-258 p.	258	   2
NA	41,[1]p.	42	   2
NA	58p.	58	   2
12mo	10p.	10	   2
NA	29,[1]p.	30	   2
NA	40p.	40	   2
12mo	64p.	64	   2
NA	48p.	48	   2
NA	56p.	56	   2
8vo	vii,[1],9-96,10p.	104	   2
12mo	144 p.	144	   2
12mo	40 p.	40	   2
8vo	p. [1],18-24	8	   2
8vo	vi,[1],8-48p.	48	   2
NA	64p.	64	   2
8vo	p. [25]-32	8	   2
4to	[2],29,[1]p.	32	   2
16mo	1 sheet	2	   2
8vo	17,[1]p.,plate	20	   2
8vo	[4],69,[3]p.	76	   2
12mo	51,[1]p.	52	   2
8vo	[4],38p.	42	   2
4to	[4],18,[2]p.	24	   2
12mo	[4],44p.	48	   2
4to	[6],91,[1]p.	98	   2
8vo	v.3 ([14],381,[19]p.), plate	416	   2
8vo	v.1 ([22],452,[20]p.), plate	496	   2
2fo	[2],22p.	24	   2
8vo	[2],20,[2]p.	24	   2
8vo	xx,44,[8]p.	72	   2
8vo	[4],vi,[2],136,139-165,[1]p.	178	   2
12mo	25,[1]p.	26	   2
8vo	163,[1]p.	164	   2
2fo	[24],603,[23]p.,plate	652	   2
8vo	[2],xxi,[9],191,194-205,[5]p.,plate	244	   2
12mo	iv,279,[1]p.	284	   2
4to	viii,204;[2],112,105-124p.,plates	342	   2
12mo	156 p.	156	   2
4to	viii,71,[1]p.	80	   2
12mo	[12],141,[3]p.	156	   2
8vo	[8],124,[8]p.,plates	144	   2
8vo	[2],x,265,[5]p.	282	   2
2fo	2 v. ([16], 836; [22], 360, 357-765, [1] p.)	1640	   2
8vo	v.8 (551,[1]p.),plates	556	   2
8vo	xv,[1],278p.	294	   2
4to	[6],573,[49]p.,plates	632	   2
8vo	[8],310,[2]p.,plates	324	   2
2fo	2v.,plates,tables	1448	   2
8vo	[2],128p.	130	   2
2fo	[16],823,[15]p.,plates	858	   2
8vo	10v.	3120	   2
4to	[18],583,[1]p.,plates	606	   2
8vo	vi,42p.	48	   2
8vo	xxxii,430,[18]p.,plates	484	   2
12mo	xxiv,374p.	398	   2
8vo	[40],363,[13]p.,plates	420	   2
12mo	180p.,plates	184	   2
2fo	xxi,[1],781,[23]p.	826	   2
12mo	[11],4-123,[1]p.	132	   2
8vo	xxiv,[4],391,[21]p.	440	   2
8vo	2v.,plates,tables	640	   2
8vo	174p.	174	   2
4to	[4],88p.	92	   2
8vo	[12],162,[6]p.	180	   2
18mo	192p.	192	   2
4to	xxxi,[1],xxvi,[4],230p.,plates	270	   2
2fo	[12],938,[22]p.	972	   2
12mo	xxi,[1],85,[1]p.	108	   2
8vo	[4],124p.	128	   2
18mo	144p.	144	   2
4to	xvi,552p.	568	   2
