gatherings	physical_extent	estimated_pagecount	Count
8vo	[4],162[i.e.163],[1]p.	540	1
8vo	[2],32,[2]p.	360	1
4to	[2],73,[3]p.	926	1
8vo	31,[1]p.	96	1
12mo	8,[2]p.,table	1101	1
12mo	67,[1]p.	100	1
4to	39,[1]p.	862	1
12mo	[4],23,[1]p.	608	1
8vo	31,[1]p.	360	1
12mo	[8],619,[5]p.	100	1
4to	[6],ii,[1],8-22p.	268	1
8vo	30p.	1151	1
2fo	32p.	434	1
16mo	XXXVI,244,[2]p.	628	1
8vo	[4],iv,[8],402,[26]p.	674	1
2fo	[6],256;215,[15]p.	565	1
8vo	xvi,307,[1]p.	360	1
8vo	63,[1]p.	504	1
2fo	[4],xvi,84p., 30 plates	1364	1
4to	12p.	281	1
18mo	[4],50p.	118	1
4to	xv,[1],342,[2]p.	NA	1
8vo	[2],vi,264,[32]p.	96	1
8vo	4p.	694	1
4to	23,[1]p.,plate	2574	1
NA	[8],184,[48]p.,plates	1107	1
8vo	64p.	96	1
12mo	[722] p.	100	1
8vo	1 sheet	1260	1
2fo	xxiv,311,[1]p.	383	1
12mo	[4],42p.	100	1
2fo	77,[1]p.	1454	1
8vo	2v.	771	1
4to	19,[1]p.	100	1
2fo	xvi,570,[6]p.	184	1
