original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
25 cm.	NA	NA	25.0	FALSE	4to	19.0	25.0	 0	 475.00	   1
46 cm.	NA	NA	46.0	FALSE	NA	30.0	46.0	NA	1380.00	   1
43 cm.	NA	NA	43.0	FALSE	2fo	28.0	43.0	 0	1204.00	   1
obl 1⁰	1to	NA	NA	 TRUE	2fo	45.0	30.0	 1	1350.00	   1
58 x 48 cm.	NA	48	58.0	FALSE	1to	48.0	58.0	 0	2784.00	   1
39 x 25 cm.	NA	25	39.0	FALSE	2fo	25.0	39.0	 0	 975.00	   1
33 x 21 cm.	NA	21	33.0	FALSE	2fo	21.0	33.0	 0	 693.00	   1
30 cm.	NA	NA	30.0	FALSE	NA	20.0	30.0	NA	 600.00	   1
1/2⁰-2⁰.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
39 x 26 cm.	NA	26	39.0	FALSE	2fo	26.0	39.0	 0	1014.00	   1
8⁰.;8⁰.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   1
obl. 16⁰.	16mo	NA	NA	 TRUE	16mo	15.0	12.0	 1	 180.00	   1
52 cm.	NA	NA	52.0	FALSE	NA	33.0	52.0	NA	1716.00	   1
1.	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
obl. 1/8⁰.	8vo	NA	NA	 TRUE	8vo	19.0	13.0	 1	 247.00	   1
41 x 34 cm.	NA	34	41.0	FALSE	NA	34.0	41.0	NA	1394.00	   1
s.sh. 8⁰.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   1
13 x 22 cm.	NA	13	22.0	FALSE	8long	13.0	22.0	 0	 286.00	   1
11 x 18 cm.	NA	11	18.0	FALSE	18mo	11.0	18.0	 0	 198.00	   1
30 cm (4⁰)	4to	NA	30.0	FALSE	4to	23.0	30.0	 0	 690.00	   1
42 x 34 cm.	NA	34	42.0	FALSE	1to	34.0	42.0	 0	1428.00	   1
35 x 23 cm.	NA	23	35.0	FALSE	2fo	23.0	35.0	 0	 805.00	   1
45 cm (2⁰)	2fo	NA	45.0	FALSE	2fo	29.0	45.0	 0	1305.00	   1
57 x 49 cm.	NA	49	57.0	FALSE	NA	49.0	57.0	NA	2793.00	   1
48⁰.	48mo	NA	NA	FALSE	48mo	 6.5	10.0	 0	  65.00	   1
38 cm (1/2⁰)	2fo	NA	38.0	FALSE	2fo	25.0	38.0	 0	 950.00	   1
27 x 23 cm.	NA	23	27.0	FALSE	4to	23.0	27.0	 0	 621.00	   1
49 cm.	NA	NA	49.0	FALSE	NA	31.0	49.0	NA	1519.00	   1
18⁰	18mo	NA	NA	FALSE	18mo	10.0	16.0	 0	 160.00	   1
31 cm.	NA	NA	31.0	FALSE	NA	21.0	31.0	NA	 651.00	   1
20 x 21 cm.	NA	20	21.0	FALSE	NA	20.0	21.0	NA	 420.00	   1
38 cm.	NA	NA	38.0	FALSE	NA	35.0	38.0	NA	1330.00	   1
32 x 20 cm.	NA	20	32.0	FALSE	2fo	20.0	32.0	 0	 640.00	   1
16⁰	16mo	NA	NA	FALSE	16mo	12.0	15.0	 0	 180.00	   1
26 cm (4⁰)	4to	NA	26.0	FALSE	4to	20.0	26.0	 0	 520.00	   1
