"metadata_ESTCID,""Freq"",""TotalLength"""
"T037041,""2"",""7341"""
"T088236,""2"",""17781"""
"W006409,""2"",""17519"""
"T141222,""4"",""114821"""
"T097745,""2"",""29421"""
"T108595,""4"",""134093"""
"T121912,""2"",""21583"""
"T147304,""2"",""82183"""
"T145739,""6"",""169721"""
"T069156,""8"",""67738"""
"T041915,""2"",""7434"""
"T138240,""2"",""97104"""
"T142902,""2"",""29201"""
"T137068,""2"",""85968"""
"T131033,""4"",""96437"""
"N017551,""2"",""171845"""
"T069213,""8"",""121363"""
"N032651,""2"",""48157"""
"T042413,""4"",""1028"""
"T144366,""2"",""5727"""
"T125966,""2"",""26054"""
"T141034,""2"",""1384"""
"P002032,""2"",""93536"""
"T001934,""12"",""10662"""
"T133961,""2"",""66430"""
"T031559,""2"",""7488"""
"T083275,""2"",""119844"""
"W020561,""4"",""29231"""
"T172574,""2"",""7380"""
"N030287,""6"",""16596"""
"T147235,""2"",""169644"""
"T136232,""2"",""1398961"""
"T083247,""2"",""78545"""
"T090462,""2"",""22487"""
"T108354,""2"",""44189"""
"T145739,""4"",""167816"""
"T096541,""6"",""48815"""
"T087669,""2"",""50002"""
"T150808,""10"",""254707"""
"T092227,""8"",""24620"""
"T082477,""4"",""122639"""
"T117548,""2"",""66241"""
"T143947,""2"",""29479"""
"T035917,""8"",""12552"""
"T020374,""2"",""4486"""
"T097808,""2"",""17890"""
"T160643,""2"",""7788"""
"T110134,""4"",""2631"""
"T095639,""2"",""42141"""
"T145739,""4"",""167901"""
"N008628,""6"",""45065"""
"T197417,""8"",""298828"""
"P000142,""4"",""172237"""
"N042403,""2"",""16710"""
"W020859,""4"",""26745"""
"T128130,""2"",""5553"""
"T037760,""2"",""29227"""
"T145739,""4"",""116637"""
"N052538,""4"",""121739"""
"T145210,""42"",""262231"""
"T075821,""6"",""70027"""
"T099597,""2"",""21844"""
"T072998,""2"",""16810"""
"N009412,""2"",""8375"""
"T082477,""4"",""171774"""
"T053673,""2"",""10608"""
"N019713,""2"",""11024"""
"N002255,""2"",""8370"""
"T004123,""2"",""39708"""
"N022590,""6"",""71673"""
"T092227,""2"",""20737"""
"W031356,""2"",""7385"""
"T135737,""8"",""132013"""
"T138035,""2"",""21588"""
"T104327,""2"",""16495"""
"N016940,""2"",""66047"""
"T073245,""2"",""30181"""
"T072353,""2"",""29344"""
"T208371,""2"",""263658"""
"T154541,""2"",""170981"""
"T117971,""2"",""63817"""
"T211327,""2"",""22031"""
"T144839,""2"",""96509"""
"N019016,""2"",""66047"""
"T177409,""2"",""43855"""
"T143469,""2"",""119140"""
"T084445,""4"",""42712"""
"T097113,""2"",""7384"""
"N010732,""2"",""5655"""
"T139662,""2"",""7567"""
"T177270,""2"",""6084"""
"T105690,""4"",""29874"""
"T102788,""2"",""4199"""
"T065455,""12"",""36796"""
"T220900,""2"",""2637"""
"T085792,""12"",""30058"""
"T059162,""2"",""4408"""
"T114054,""4"",""68888"""
"T043176,""2"",""30235"""
"T178403,""2"",""4124"""
"T050981,""2"",""10899"""
"T164241,""4"",""139045"""
"T034399,""2"",""10668"""
"T084039,""2"",""4923"""
"T130527,""2"",""6683"""
"T085900,""2"",""68540"""
"T098569,""2"",""87356"""
"N050057,""2"",""32795"""
"T171012,""2"",""186553"""
"T168348,""2"",""5824"""
"T039424,""14"",""43379"""
"T066320,""2"",""7361"""
"N025886,""4"",""26972"""
"T055461,""2"",""30265"""
"T119640,""2"",""5365"""
