"location","unified_form","url","parent_location","level"
"Duke's Street","","","",6
"Duke's-Court","","","",6
"Dukestreet","","","",6
"Dunciad","","","",
"Dundee","","","",
"Dutchess's Head","","","",
"Duxt-Street","","","",6
"Eagle-Street","","","",6
"Earl-Street","","","",6
"East-End of New Church","","","",7
"East-Street","","","",6
"Eastgate-Street","","","",6
"Ediburgh","Edinburgh","","",
"Edinbrugh","Edinburgh","","",3
"Edinburgh","Edinburgh","","",3
"Edinburgh Lying-in Hospital","","","",7
"Edmund-Street","","","",6
"Edward-Street","","","",6
"Edwards-street","","","",6
"Eerwick Street","","","",6
"Eleet Street","","","",6
"Elephant and Castle","","","",
"Ellesmere","","","",
"Elzevir's-Head","","","",
"End of Flower-de-Luce-Court","","","",6
"End of Pope's Head Alley","","","",6
"England","","","",1
"Erasmus's-Head","","","",
"Essex Street","","","",6
"Essex-Street","","","",6
"Essex-street","","","",6
"Europe","","","",0
"Eustace-Street","","","",6
"Exchange","","","",
"Exchange Alley","","","",6
"Exchange Street","","","",6
"Exchange-Alley","","","",6
"Exchange-Street","","","",6
"Exchequer-Street","","","",6
"Exeter","","","",
"Exeter Change","","","",
"Exeter-Change","","","",
"Exeter-Exchange","","","",
"Exeter-Street","","","",6
"Eyre-Street","","","",6
"Facing-Southampton Street","","","",6
"Fair Street","","","",6
"Fair-Street","","","",6
"Fakenham","","","",
"Fanchurch-Street","","","",6
"Faregate-street","","","",6
"Farnham","","","",
"Faulkner's-Head","","","",
"Feathers","","","",
"Feathers Tavern.","","","",
"Fenchurch Street","","","",6
"Fenchurch-Street","","","",6
"Fenchurch-street","","","",6
"Fetter Lane","Fetter Lane","https://mapoflondon.uvic.ca/FETT1.htm","London",6
"Fetter lane","Fetter Lane","https://mapoflondon.uvic.ca/FETT1.htm","London",6
"Fetter-Lane","Fetter Lane","https://mapoflondon.uvic.ca/FETT1.htm","London",6
"Finch Lane","Finch Lane","https://mapoflondon.uvic.ca/FINC1.htm","London",6
"Finch-Lane","Finch Lane","https://mapoflondon.uvic.ca/FINC1.htm","London",6
"Finsbury square","","","",6
"Finsbury-Place","","","",
"Finsbury-Square","","","",6
"Fish shamble street","","","",6
"Fish Street","","","",6
"Fish Street Hill","","","",6
"Fish-market","","","",
"Fish-street","","","",6
"Fish-Street","","","",6
"Fish-Street Hill","","","",6
"Fish-Street-Hill","","","",6
"Fish-streete","","","",6
"Fishamble Street","","","",6
"Fishamble-street","","","",6
"Fishamble-Street","","","",6
"Fisher-Street","","","",6
"Fishstreet","","","",6
"Fleece-Tavern","","","",7
"Fleelstreet","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleet Street","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleet street","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleet Street-","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleet-Lane","Fleet Lane","https://mapoflondon.uvic.ca/FLEE3.htm","London",6
"Fleet-Street","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleet-street","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleet-Street-","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleet-Street.","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleet-streete","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleetstreet","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleetstreet","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Fleetstreete","Fleet Street","https://mapoflondon.uvic.ca/FLEE6.htm","London",6
"Flower-de-Luce","","","",
"Flower-de-Luce Court","","","",6
"Forbe's Street","","","",6
"Fore Street","","","",6
"Fore-Street","","","",6
"Fore-Street Hill","","","",6
"Foregate-Street","","","",6
"Foregate-street","","","",6
"Forestreet","","","",6
"Foundery","","","",
"Foundry","","","",
"Fountain Street","","","",6
"Four Courts","","","",
"Fourth Street","","","",6
"Fourth-Street","","","",6
"Fowner's-street","","","",6
"Fownes's Street","","","",6
"Franklin's-Head","","","",
"Frith Street","","","",6
"Frith-Street","","","",6
"Front Street","","","",6
"Front-street","","","",6
"Front-Street","","","",6
"Fuller's Rents","","","",
"Gainsborough","","","",
"Gainsbrough","","","",
"Garrick's Head","","","",
"Garrick's-Head","","","",
"Gate Street","","","",6
"Gate-street","","","",6
"Gate-Street","","","",6
"Gay-Street","","","",6
"General Post-Office","","","",
"George Yard","","","",6
"George-Street","","","",6
"George-street","","","",6
"George-Yard","","","",6
"George's Court","","","",6
"George's Street","","","",6
"George's-court","","","",6
"George's-Lane","","","",6
"George's-Street","","","",6
"Georges-Street","","","",6
"Gerard Street","","","",6
"Gerard-Street","","","",6
"Germain-Street","","","",6
"Gerrard Street","","","",6
"Gerrard-Street","","","",6
"Gilt-spur-street","","","",6
"Giltspur-street","","","",6
"Glasgow","","","",
"Glashouse Street","","","",6
"Glass-House Street","","","",6
"Glass-House-Street","","","",6
"Glasshouse Street","","","",6
"Glasshouse-Street","","","",6
"Globe","","","",
"Glocester","Gloucester","","",3
"Gloucester","Gloucester","","",3
"Gold Ring","","","",
"Gold-Street","","","",6
"Golden Anchor","","","",
"Golden Ball","","","",
"Golden Bible","","","",
"Golden Buck","","","",
"Golden Flower-de-Luce","","","",
"Golden Head","","","",
"Golden Key","","","",
"Golden Lion","","","",
"Golden Lyon","","","",
"Golden-Ball","","","",
"Golden-Lion","","","",
"Golden-Square","","","",6
"Goldsmiths'-Street","","","",6
"Goodge Street","","","",6
"Goodge-Street","","","",6
"Goodman's Fields","","","",
"Goodman's-Fields","","","",
"Gosport","","","",
"Goswell Street","","","",6
"Goswell-Street","","","",6
"Grace Church Street","","","",6
"Grace Church-Street","","","",6
"Grace-Church Street","","","",6
"Grace-Church-Street","","","",6
"Grace-Church-street","","","",6
"Grace-church-Street","","","",6
"GraceChruch-Street","","","",6
"Gracechurch Street","","","",6
"Gracechurch-Street","","","",6
"Gracechurch-street","","","",6
"GraceChurch-Street","","","",6
"Gracichurch-Street","","","",6
"Gracious-street","","","",6
"Grafton Street","","","",6
"Grafton-Street","","","",6
"Grafton-street","","","",6
"Grafton-Street.","","","",6
"Grapton-Street","","","",6
"Graston-street","","","",6
"Gratton-Street","","","",6
"Gray's Inn","Gray's Inn","https://mapoflondon.uvic.ca/GRAY1.htm","London",
"Gray's Inn Gate","","","",6
"Gray's Inn-Gate","","","",6
"Gray's-Inn","Gray's Inn","https://mapoflondon.uvic.ca/GRAY1.htm","London",
"Gray's-Inn Gate","","","",6
"Gray's-Inn-Gate","","","",6
"Grays-Inn","Gray's Inn","https://mapoflondon.uvic.ca/GRAY1.htm","London",
"Grays-Inn Gate","","","",6
"Grays-Inn Lane","Gray’s Inn Road","https://mapoflondon.uvic.ca/GRAY2.htm","London",6
"Grays-Inn-Gate","","","",6
"Grays-Inn-Lane","Gray’s Inn Road","https://mapoflondon.uvic.ca/GRAY2.htm","London",6
"Great Britain","","","",
"Great Britain-Street","","","",6
"Great George-Street","","","",6
"Great George's Street","","","",6
"Great George's-Street","","","",6
"Great Malborough-Street","","","",6
"Great Marlborough Street","","","",6
"Great Marlborough-Street","","","",6
"Great Marlborough-street","","","",6
"Great Marlbro'-street","","","",6
"Great Mary-le-Bone-Street","","","",6
"Great Mary-le-Bone-street","","","",6
"Great Mary-le-bone-Street","","","",6
"Great Newport Street","","","",6
"Great Newport-Street","","","",6
"Great Piazza","","","",
"Great Portland Street","","","",6
"Great Portland-Street","","","",6
"Great Prescot-Street","","","",6
"Great Pulteney Street","","","",6
"Great Pulteney-street","","","",6
"Great Pulteney-Street","","","",6
"Great Pultney Street","","","",6
"Great Pultney-Street","","","",6
"Great Queen Street","","","",6
"Great Queen-Street","","","",6
"Great Queen-street","","","",6
"Great Queens-Street","","","",6
"Great Russel Street","","","",6
"Great Russel-Street","","","",6
"Great Russell Street","","","",6
"Great Russell-Street","","","",6
"Great Russell-street","","","",6
"Great St. Andrew Street","","","",6
"Great St. Andrew-street","","","",6
"Great Surry Street","","","",6
"Great Titchfield Street","","","",6
"Great Turnstile","","","",
"Great Wild Street","","","",6
"Great Windmill-Street","","","",6
"Great Wylde-Street","","","",6
"Great-Britain","","","",
"Great-Britian","","","",
"Great-George's-Street","","","",6
"Great-Georges'-Street","","","",6
"Great-Queen-Street","","","",6
"Great-Russel-Street","","","",6
"Great-Russell-Street","","","",6
"Great-Turnstile","","","",
"Greek-Street","","","",6
"Green Door","","","",
"Green Street","","","",6
"Green-Dragon","","","",
"Green-Street","","","",6
"Greenwich-Street","","","",6
"Greville Street","","","",6
"Greville-Street","","","",6
"Grey-Eagle Street","","","",6
"Grosvenor Street","","","",6
"Grosvenor-Square","","","",6
"Grosvenor-Street","","","",6
"Grosvenor-street","","","",6
"Grubstreet Society","","","",6
"Grubstreete","","","",6
"Gt. George's-Street","","","",6
"Gt. Russell-Street","","","",6
"Gt. Strand-Street","","","",6
"Guildford","","","",
"Guiltspur Street","","","",6
"Gun-Street","","","",6
"Hail Street","","","",6
"Half Moon","","","",
"Half-Moon","","","",
"Half-moon","","","",
"Hall Street","","","",6
"hand and pen","","","",
"Hand and Star","","","",
"Hanover-Street","","","",6
"Hanover-street","","","",6
"Hanway-Street","","","",6
"Harley Street","","","",6
"Harp and Hautboy","","","",
"Harrison Street","","","",6
"Harrogate","","","",6
"Hart Street","","","",6
"Hat and Star","","","",
"Hatter-Street","","","",6
"Hatton-Garden","","","",
"Hatton-Street","","","",6
"Havant-Street","","","",6
"Hay-Market","","","",
"Head of Serge-Market","","","",
"Hendrick-Street","","","",6
"Henrietta Street","","","",6
"Henrietta-Street","","","",6
"Henry-Street","","","",6
"her house","","","",7
"her Shops","","","",
"her shops","","","",
"Hercules","","","",
"Hereford","","","",
