volumes	parts	pages.original	count
1	NA	2 leaves (versos blank)	8
1	NA	[2], 23, [1] p.	8
1	NA	[84] p.	8
1	NA	[3] p.	8
1	NA	[2], 40 p.	8
1	NA	[2], 11, [3] p.	8
1	NA	[8], 80 p.	8
1	NA	1 sheet ([1] p.	8
1	NA	[4], 40 p.	8
1	NA	[1], 6, [1] p.	8
1	NA	[2] 6 p.	8
1	NA	[4], 64 p.	8
26	NA	26 v.	8
1	NA	v. :bill.	8
1	NA	[8], 71, [1] p.	7
1	NA	52 p.	7
1	NA	[2], 36 p.	7
1	NA	[2], 27, [1] p.	7
1	NA	[1+] p.	7
1	NA	26 p.	7
1	NA	21, [3] p.	7
21	NA	21 v.	7
1	NA	70,[2]p.	7
1	NA	18,[2]p.	7
1	NA	29, [3] p.	7
1	NA	[2],28p.	7
1	NA	[2],13,[1]p.	7
1	NA	13, [3] p.	7
1	NA	37,[3]p.	7
1	NA	86p.	7
1	NA	[2], 43, [1] p.	7
1	NA	34, [2] p.	7
1	NA	[2], 58 p.	7
1	NA	[4],75,[1]p.	7
1	NA	[4],80p.	7
1	NA	82,[2]p.	7
1	NA	[4],88p.	7
1	NA	[4],64p.	7
7	NA	7v.	7
12	NA	12v.,plates	7
1	NA	176p.	7
1	NA	[18],234,[100]p.	7
1	NA	[4],72p.	7
1	NA	[2],65,[1]p.	7
1	NA	[4],50p.	7
7	NA	7v.,plate	7
1	NA	[2],64p.	7
1	NA	160p.	7
1	NA	[2], 78 p.	7
1	NA	[46] p.	7
1	NA	1 sheet ([2]) p.	7
1	NA	[2] sheets	7
1	NA	[8], 392 p.	7
1	NA	[8], 39, [1] p.	7
1	NA	[8], 36 p.	7
1	NA	[8], 52 p.	7
1	NA	[8], 47, [1] p.	7
1	NA	[2], 9 [i.e. 6] p.	7
1	NA	3 sheets (versos only)	7
1	NA	[2], 50 p.	7
3	NA	3 v., plates	7
15	NA	15 v.	7
1	NA	60 p.	6
1	NA	[120] p.	6
1	NA	[2], 5 [i.e. 6] p.	6
1	NA	[2] leaves	6
1	NA	239, [1] p.	6
1	NA	21, [1] p.	6
1	NA	45, [1] p.	6
1	NA	46 p.	6
1	NA	76 p.	6
1	NA	[4], 63, [1] p.	6
1	NA	23 p.	6
1	NA	62, [2] p.	6
1	NA	[12], 99, [1] p.	6
1	NA	[4], 59, [1] p.	6
1	NA	[4], 75, [1] p.	6
1	NA	[4],iv,32p.	6
1	NA	38,[2]p.	6
1	NA	21,[3]p.	6
1	NA	77,[1]p.	6
1	NA	[2]leaves	6
1	NA	[2],39,[1]p.	6
1	NA	127,[1]p.	6
1	NA	[2],70p.	6
1	NA	[2], 44 p.	6
1	NA	37,[1]p.	6
1	NA	41,[1]p.	6
1	NA	[2],40,[2]p.	6
1	NA	79, [1] p.	6
1	NA	[24]p.	6
1	NA	[4],26p.	6
1	NA	[4] leaves	6
1	NA	152p.	6
1	NA	[2],36,[2]p.	6
1	NA	[4],206p.	6
1	NA	107,[1]p.	6
1	NA	[4],15,[1]p.	6
1	NA	[2],71,[1]p.	6
1	NA	[4],83,[1]p.	6
10	NA	10v.,plates	6
1	NA	[4],110p.	6
1	NA	v,[1],201,[1]p.	6
1	NA	[8],64p.	6
1	NA	[2],15,[1]p.	6
1	NA	[2],23,[1]p.	6
1	NA	[2],48p.	6
1	NA	131,[1]p.	6
1	NA	[4],99,[1]p.	6
1	NA	180p.	6
1	NA	[4],71,[1]p.	6
1	NA	[2], 64 p.	6
1	NA	60p.,plate	6
1	NA	38 p.	6
1	NA	3 sheets	6
1	NA	[8], 149, [3] p.	6
1	NA	[2], 19, [1] p.	6
1	NA	[136] p.	6
1	NA	[2], 5 p.	6
1	NA	[4], 26 p.	6
1	NA	4 leaves.	6
1	NA	[4], 66, [2] p.	6
1	NA	[6], 41, [1] p.	6
1	NA	[4], 14, [2] p.	6
1	NA	[2], 7, [1] p.	6
1	NA	[4], 51, [1] p.	6
1	NA	[8], 22, [2] p.	6
1	NA	[2], 52, [2] p.	6
1	NA	[4], 56 p.	6
1	NA	[8], 24 p.	6
1	NA	[8], 40 p.	6
1	NA	[2], 18, [2] p.	6
1	NA	1 sheet (2 p.).	6
1	NA	[2], 41, [1] p.	6
1	NA	[2], 52 p.	6
1	NA	[2], 32, [2] p.	6
1	NA	[8], 232 p.	6
1	NA	[2], 53, [1] p.	6
1	NA	[2], 4 [i.e. 6] p.	6
1	NA	[4], 52 p.	6
1	NA	25, [1] p.	5
2	NA	2 v., plates	5
1	NA	54, [2] p.	5
1	NA	[2], 6, p.	5
1	NA	87, [1] p.	5
20	NA	20 v.	5
1	NA	70 p.	5
1	NA	[2], 57, [1] p.	5
1	NA	2, [2] p.	5
1	NA	[4], 42, [2] p.	5
1	NA	[4], 76 p.	5
1	NA	67, [1] p.	5
1	NA	[2],27,[1]p.	5
1	NA	[8],16p.	5
1	NA	[16]p.	5
1	NA	[4],196p.	5
1	NA	[6]p.	5
1	NA	112p.	5
1	NA	[2],82p.	5
1	NA	65,[1]p.	5
1	NA	viii,76p.	5
1	NA	[2], 66 p.	5
1	NA	132p.	5
1	NA	75,[1]p.	5
1	NA	90p.	5
1	NA	99,[1]p.	5
1	NA	62 p.	5
1	NA	124p.	5
1	NA	46, [2] p.	5
1	NA	[4],58,[2]p.	5
1	NA	108p.	5
1	NA	[6],26p.	5
1	NA	[4],151,[1]p.	5
1	NA	[2],76p.	5
1	NA	[2],75,[1]p.	5
1	NA	[4],63,[1]p.	5
1	NA	224p.	5
1	NA	iv,140p.	5
1	NA	[4],xxiii,[1],248,[4]p.,plate	5
1	NA	[2],8p.	5
1	NA	[2],78p.	5
1	NA	[4],112p.	5
1	NA	155,[1]p.	5
1	NA	103,[1]p.	5
6	NA	6v.,plate	5
1	NA	[4],58p.	5
1	NA	viii,32p.	5
1	NA	[4],96p.	5
1	NA	[2],74p.	5
1	NA	[8], 76 p.	5
1	NA	[16],320p.	5
1	NA	288p.	5
1	NA	[2],49,[1]p.	5
1	NA	[4],102p.	5
1	NA	[2],90p.	5
1	NA	[8],128p.	5
