name;synonyme
Chillicothe Oh;chestnut hill
Chestnut Hill Pa;chestnut hill pa
Chippenham;chestnut hill pa
Chestertown md;chestnut hill pa
Chestnut Hill Pa;chestnuthill pa
Christiansted VI;chestnuthill pa
London;chiswick
Cirencester;chiswick
Cincinnati Oh;cincinnati
Albany NY;cincinnati
Cincinnati Oh;cincinnati ohio
Saint John;cincinnati ohio
Cirencester;cirencester
Saint John;cirencester
Saint John;city st john
Washington DC;city st john
Saint John;city st john nb
London;city st john nb
Washington DC;city washington
London;city washington
Washington DC;city washington dc
London;city washington dc
London;clerkenwell
Clipstone;clerkenwell
London;clerkenwell london england
Cork;clerkenwell london england
Clonmel;clonmel
Glasgow;clonmel
Clonmel;clonmel ireland
London;clonmel ireland
Clonmel;clonmell
Coburg;clonmell
Glasgow;clscuae
Coimbra;clscuae
Colchester;colchester
Coleraine;colchester
Colchester;colchester england
Paris;colchester england
Colchester;colechester
Edinburgh;colechester
Coleraine;colerain
Cologne;colerain
Cologne;collen
Stonor;collen
Cologne;cöllen
Germantown Pa;cöllen
Cologne;cologne
London;cologne
Cologne;colonia
London;colonia
Cologne;coloniae
Boston Ma;coloniae
Cologne;coloniae agrippinae
Columbia SC;coloniae agrippinae
Columbia SC;columbia
Glasgow;columbia
Columbia SC;columbia sc
Boston Ma;columbia sc
Columbia SC;columbia south carolina
Springfield Ma;columbia south carolina
Worcester Ma;columbia worcester massachusetts
London;columbia worcester massachusetts
Concord Ma;concord mass
Concord NH;concord mass
Concord Ma;concord massachusetts
London;concord massachusetts
Concord NH;concord new hampshire
Philadelphia Pa;concord new hampshire
Litchfield Ct;concord new hampshire
Concord NH;concord nh
Boston Ma;concord nh
Litchfield Ct;connecticut
Newmarket;connecticut
Chester;connecticut
Kingston upon Thames;connecticut
Rome NY;connecticut
Newport;connecticut
Cambridge;connecticut
Cooperstown NY;connecticut
Istanbul;constantinople
London;constantinople
NA;continent
London;continent
NA;continental
Paris;continental
Cooperstown NY;cooperstown
Copenhagen;cooperstown
Cooperstown NY;cooperstown ny
Cork;cooperstown ny
Copenhagen;copenhagen
New Milford Ct;copenhagen
Cork;copenhagen
Louvain;copenhagen
Copenhagen;coppenhagen
Cork;coppenhagen
NA;copy van schotland
Newark;copy van schotland
Cork;corck
London;corck
Cork;corcke
Amsterdam;corcke
Cork;cork
Lyon;cork
Ballston Spa NY;cork
Clonmel;cork
Cork;corke
London;corke
Cork;cork ireland
Coventry;cork ireland
Coventry;coventry
Oxford;coventry
Coventry;coventry bs n
Bontfaen;coventry bs n
Coventry;coventry england
Coxheath;coventry england
Coventry;coventry london
Cranbrook;coventry london
Coventry;coventry oxford
Crewkerne;coventry oxford
Bontfaen;cowbridge
Cricklade;cowbridge
