original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Boyer, P	1619-approximately 1700.	Boyer, P (1619-1700)	1619	1700	   4
Spanheim, Friedrich	1632-1701.	Spanheim, Friedrich (1632-1701)	1632	1701	   4
Canvane, Peter	1720-1786.	Canvane, Peter (1720-1786)	1720	1786	   4
Lever, Ashton	1729-1788.	Lever, Ashton (1729-1788)	1729	1788	   4
Filkes, John	active 1711-1714.	Filkes, John (1711-1714)	1711	1714	   4
Du Halde, J.-B	1674-1743.	Du Halde, J -b (1674-1743)	1674	1743	   4
Thomas, George Andrew	1767-1804.	Thomas, George Andrew (1767-1804)	1767	1804	   4
Drew, Charles	-1740.	Drew, Charles (NA-1740)	NA	1740	   4
Naylor, Quintus	-1734.	Naylor, Quintus (NA-1734)	NA	1734	   4
Ryan, Edward	-1819.	Ryan, Edward (NA-1819)	NA	1819	   4
Phillips, Samuel	1684-	Phillips, Samuel (1684-1771)	1684	1771	   4
MacPhail, James	active 1785-1805.	Macphail, James (1785-1805)	1785	1805	   4
Rousset de Missy, Jean	1686-1762.	Rousset De Missy, Jean (1686-1762)	1686	1762	   4
Bigot de Sainte-Croix, Louis Claude	1744-1803.	Bigot De Sainte-croix, Louis Claude (1744-1803)	1744	1803	   4
Bodmer, Johann Jakob	1698-1783.	Bodmer, Johann Jakob (1698-1783)	1698	1783	   4
Townshend, Charles	1725-1767.	Townshend, Charles (1725-1767)	1725	1767	   4
Dobson	-1795.	Dobson,  (NA-1795)	NA	1795	   4
Eyre, James	1734-1799.	Eyre, James (1734-1799)	1734	1799	   4
Desmoulins, Camille	1760-1794.	Desmoulins, Camille (1760-1794)	1760	1794	   4
Limojon de Saint-Didier, Alexandre-Toussaint	approximately 1630-1689.	Limojon De Saint-didier, Alexandre-toussaint (1630-1689)	1630	1689	   4
Bisset, George	-1788.	Bisset, George (NA-1788)	NA	1788	   4
Clement	1649-1721.	Clement,  (1649-1721)	1649	1721	   4
Stuart, C	active 1794.	Stuart, C (1794-1791)	1794	1791	   4
Eaton, Robert	1688?-1728.	Eaton, Robert (1688-1728)	1688	1728	   4
Turner, Baptist Noel	1739-1826.	Turner, Baptist Noel (1739-1826)	1739	1826	   4
Wilson, John	-1746.	Wilson, John (NA-1746)	NA	1746	   4
Rulhière, Claude Carloman de	1734-1791.	Rulhière, Claude Carloman De (1734-1791)	1734	1791	   4
Stewart, John	active 1757.	Stewart, John (1757-NA)	1757	NA	   4
Law, John	1719-	Law, John (1719-NA)	1719	NA	   4
Cassillis, Thomas Kennedy	-1775.	Cassillis, Thomas Kennedy (NA-1775)	NA	1775	   4
Hay, Robert	1731-1807.	Hay, Robert (1731-1807)	1731	1807	   4
Gordon, Alexander Penrose Cumming	1749-1806.	Gordon, Alexander Penrose Cumming (1749-1806)	1749	1806	   4
Moir, George Montgomery	1706 or 1707-1792.	Moir, George Montgomery (1706-1792)	1706	1792	   4
Ogilvie, Patrick	-1765.	Ogilvie, Patrick (NA-1765)	NA	1765	   4
Borland, Francis	-1722.	Borland, Francis (NA-1722)	NA	1722	   4
Warren, Thomas	active 18th century.	Warren, Thomas	NA	NA	   4
Wild, Jonathan	1682?-1725.	Wild, Jonathan (1682-1725)	1682	1725	   4
Voght, C	1752-1839.	Voght, C (1752-1839)	1752	1839	   4
Pierson, Christoffel	1631-1714.	Pierson, Christoffel (1631-1714)	1631	1714	   4
