author	author_gender	Count
Agustín, Antonio (1517-1586)	NA	     1
Agutter, William (1758-1835)	ambiguous	    10
Aher, Patrick	NA	     2
Aheron, John	NA	     2
Ahivah, 	NA	     2
Ahlers, Cyriacus	male	     2
Ahmad, 	NA	     1
Ahmed,  (1590-1617)	NA	     2
Aickin, James (NA-1803)	NA	     1
Aickin, Joseph	ambiguous	     6
Aiesha, 	female	     1
Aiken, Solomon (1758-1833)	NA	     1
Aikin, Arthur (1773-1854)	NA	     3
Aikin, J (1782-NA)	NA	     1
Aikin, John (1747-1822)	NA	    68
Aikman, Christian	ambiguous	     1
Aikman, George (1756-1773)	ambiguous	     1
Aikman, Robert	ambiguous	     1
Aikman, Walter	ambiguous	     1
Aikman, William	ambiguous	     1
Ailesbury, Charles Bruce (1682-1747)	ambiguous	     2
Ailesbury, Robert Bruce (NA-1685)	ambiguous	     1
Ailesbury, Thomas (1622-1659)	NA	     7
Ailesbury, Thomas Bruce (1656-1741)	NA	     2
Ailhaud, Jean (1674-1756)	ambiguous	     2
Ailly, Pierre D' (1350-1420)	NA	     1
Ainslie, Alexander	ambiguous	     1
Ainslie, George (NA-1773)	ambiguous	     1
Ainslie, James	NA	     1
Ainslie, Joannes	male	     1
Ainslie, John	NA	     3
Ainslie, Thomas	NA	     1
Ainslie, William (NA-1716)	ambiguous	     1
Ainsworth, Henry (1571-1622)	ambiguous	    53
Ainsworth, John (1609-1613)	NA	     1
Ainsworth, Robert (1660-1743)	ambiguous	    23
Ainsworth, Samuel	NA	     2
Ainsworth, Thomas	NA	     1
Ainsworth, William (NA-1671)	ambiguous	     2
Air-brain, Harriet	NA	     1
Air, William	ambiguous	     1
Airay, Christopher (1601-1670)	ambiguous	     4
Airay, Henry (1560-1616)	ambiguous	     2
Aird, Joannes	male	     1
Aird, William	ambiguous	     1
Airth, James Graham (1698-NA)	ambiguous	     1
Aisgill, Joshua (1586-1587)	ambiguous	     1
Aislabie, John (1670-1742)	NA	     8
Aitchison, Alexander	ambiguous	     1
Aitchison, James	NA	     1
Aitchison, Thomas	NA	     5
Aitken, 	male	     1
Aitken, Alexander	ambiguous	     1
Aitken, James (1752-1777)	NA	    13
Aitken, Janet	ambiguous	     1
Aitken, John	NA	     1
Aitken, John (1700-NA)	NA	     1
Aitken, John (1745-1831)	NA	     1
Aitken, John (NA-1790)	NA	    20
Aitken, Robert (1735-1802)	ambiguous	     3
Aitken, William (NA-1765)	ambiguous	     1
Aitkenhead, Patrick	NA	     2
Aitkin, Alison	ambiguous	     2
Aitkin, David	ambiguous	     1
Aitkinson, Jasper	NA	     1
Aiton, John	NA	    12
Aiton, Thomas	NA	     1
Aiton, William (1731-1793)	ambiguous	     2
Aitoun, John (1696-NA)	NA	     1
Aitton, William	ambiguous	     1
Aitzema, Lieuwe Van (1600-1669)	ambiguous	     1
Akenhead, Robert	ambiguous	     1
Akenside, Mark (1721-1770)	ambiguous	    60
Akerby, George	ambiguous	     3
Akeroyde, Samuel (1650-1706)	NA	     3
Akers, 	male	     1
Akin, Thomas	NA	     1
