original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
39 x 16 cm.	NA	16.0	39.0	FALSE	NA	16.0	39.0	NA	 624.00	     1
30 x 14 cm.	NA	14.0	30.0	FALSE	NA	14.0	30.0	NA	 420.00	     1
45 x 31 cm.	NA	31.0	45.0	FALSE	NA	31.0	45.0	NA	1395.00	     1
34 x 10 cm.	NA	10.0	34.0	FALSE	NA	10.0	34.0	NA	 340.00	     1
58 x 39 cm.	NA	39.0	58.0	FALSE	NA	39.0	58.0	NA	2262.00	     1
(12 mo)	12mo	NA	NA	FALSE	12mo	12.5	19.0	 0	 237.50	     1
35 x 33 cm.	NA	33.0	35.0	FALSE	NA	33.0	35.0	NA	1155.00	     1
16⁰ .	16mo	NA	NA	FALSE	16mo	12.0	15.0	 0	 180.00	     1
26 x 42 cm.	NA	26.0	42.0	FALSE	NA	26.0	42.0	NA	1092.00	     1
52 x 65 cm.	NA	52.0	65.0	FALSE	NA	52.0	65.0	NA	3380.00	     1
16 x 10 cm.	NA	10.0	16.0	FALSE	NA	10.0	16.0	NA	 160.00	     1
1/2⁰(?)	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	     1
91 cm.	NA	NA	91.0	FALSE	NA	55.0	91.0	NA	5005.00	     1
30 cm. 1/2⁰.	2fo	NA	30.0	FALSE	2fo	20.0	30.0	 0	 600.00	     1
36 x 22 cm. 1/2⁰.	2fo	22.0	36.0	FALSE	2fo	22.0	36.0	 0	 792.00	     1
31 x 18 cm. 1/2⁰.	2fo	18.0	31.0	FALSE	2fo	18.0	31.0	 0	 558.00	     1
43 x 38 cm.	NA	38.0	43.0	FALSE	NA	38.0	43.0	NA	1634.00	     1
5.0 cm.	NA	NA	 5.0	FALSE	NA	 4.0	 5.0	NA	  20.00	     1
59 x 50 cm.	NA	50.0	59.0	FALSE	NA	50.0	59.0	NA	2950.00	     1
69 x 49 cm.	NA	49.0	69.0	FALSE	NA	49.0	69.0	NA	3381.00	     1
28 x 23.5 cm.	NA	23.5	28.0	FALSE	NA	23.5	28.0	NA	 658.00	     1
14 cm. (.	NA	NA	14.0	FALSE	NA	11.0	14.0	NA	 154.00	     1
21 x 23 cm.	NA	21.0	23.0	FALSE	NA	21.0	23.0	NA	 483.00	     1
14 cm. (8vo and 12mo)	NA	NA	14.0	FALSE	NA	11.0	14.0	NA	 154.00	     1
28 x 26 cm.	NA	26.0	28.0	FALSE	NA	26.0	28.0	NA	 728.00	     1
11 x 13 cm. (16 mo)	16mo	11.0	13.0	FALSE	16mo	11.0	13.0	 0	 143.00	     1
22 x 56 cm.	NA	22.0	56.0	FALSE	NA	22.0	56.0	NA	1232.00	     1
20 cm. (4to?)	4to	NA	20.0	FALSE	4to	17.0	20.0	 0	 340.00	     1
13 x 17 cm.	NA	13.0	17.0	FALSE	NA	13.0	17.0	NA	 221.00	     1
51 x 38 cm.	NA	38.0	51.0	FALSE	NA	38.0	51.0	NA	1938.00	     1
14 cm. (12 mo)	12mo	NA	14.0	FALSE	12mo	10.0	14.0	 0	 140.00	     1
14 x 18 cm.	NA	14.0	18.0	FALSE	NA	14.0	18.0	NA	 252.00	     1
11 cm. (?0.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
14 x 14 cm.	NA	14.0	NA	FALSE	NA	14.0	14.0	NA	 196.00	     1
30 x 16 cm.	NA	16.0	30.0	FALSE	NA	16.0	30.0	NA	 480.00	     1
17 cm. (8v0)	NA	NA	17.0	FALSE	NA	12.0	17.0	NA	 204.00	     1
54 x 41 cm.	NA	41.0	54.0	FALSE	NA	41.0	54.0	NA	2214.00	     1
55 x 41 cm.	NA	41.0	55.0	FALSE	NA	41.0	55.0	NA	2255.00	     1
8⁰ 1 map.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	     1
57 x 45 cm.	NA	45.0	57.0	FALSE	NA	45.0	57.0	NA	2565.00	     1
48 x 33 cm.	NA	33.0	48.0	FALSE	NA	33.0	48.0	NA	1584.00	     1
(8v0)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
25 x 15 cm.	NA	15.0	25.0	FALSE	NA	15.0	25.0	NA	 375.00	     1
23 cm. (8vo and 4to)	NA	NA	23.0	FALSE	NA	18.0	23.0	NA	 414.00	     1
27 x 17 cm.	NA	17.0	27.0	FALSE	NA	17.0	27.0	NA	 459.00	     1
32 x 49 cm.	NA	32.0	49.0	FALSE	NA	32.0	49.0	NA	1568.00	     1
19 x 26 cm.	NA	19.0	26.0	FALSE	NA	19.0	26.0	NA	 494.00	     1
19 x 32 cm.	NA	19.0	32.0	FALSE	NA	19.0	32.0	NA	 608.00	     1
38 x 41 x 46 cm.	NA	38.0	41.0	FALSE	NA	38.0	41.0	NA	1558.00	     1
57 cm.	NA	NA	57.0	FALSE	NA	35.0	57.0	NA	1995.00	     1
15 x 20 cm.	NA	15.0	20.0	FALSE	NA	15.0	20.0	NA	 300.00	     1
46 x 34 cm.	NA	34.0	46.0	FALSE	NA	34.0	46.0	NA	1564.00	     1
29 x 17 cm. broadside.	1to	17.0	29.0	FALSE	1to	17.0	29.0	 0	 493.00	     1
60 x 95 cm.	NA	60.0	95.0	FALSE	NA	60.0	95.0	NA	5700.00	     1
37 x 16 cm.	NA	16.0	37.0	FALSE	NA	16.0	37.0	NA	 592.00	     1
42 x 51 cm.	NA	42.0	51.0	FALSE	NA	42.0	51.0	NA	2142.00	     1
12 x 11 x 7 cm.	NA	11.0	12.0	FALSE	NA	11.0	12.0	NA	 132.00	     1
11cm.	NA	NA	11.0	FALSE	NA	 8.0	11.0	NA	  88.00	     1
46 x 40 cm.	NA	40.0	46.0	FALSE	NA	40.0	46.0	NA	1840.00	     1
39 x 46 cm.	NA	39.0	46.0	FALSE	NA	39.0	46.0	NA	1794.00	     1
49 x 20 cm.	NA	20.0	49.0	FALSE	NA	20.0	49.0	NA	 980.00	     1
19 x 19 cm.	NA	19.0	NA	FALSE	NA	19.0	19.0	NA	 361.00	     1
40 x 16 cm.	NA	16.0	40.0	FALSE	NA	16.0	40.0	NA	 640.00	     1
32⁰ .	32mo	NA	NA	FALSE	32mo	 7.0	12.0	 0	  84.00	     1
49 x 31 cm.	NA	31.0	49.0	FALSE	NA	31.0	49.0	NA	1519.00	     1
33 x 24 cm.	NA	24.0	33.0	FALSE	NA	24.0	33.0	NA	 792.00	     1
Broadside, printed on 1 side.	1to	NA	NA	FALSE	1to	60.0	90.0	 0	5400.00	     1
38 x 18 cm.	NA	18.0	38.0	FALSE	NA	18.0	38.0	NA	 684.00	     1
Broadside; 38 x 32 cm.	1to	32.0	38.0	FALSE	1to	32.0	38.0	 0	1216.00	     1
54 x 22 cm.	NA	22.0	54.0	FALSE	NA	22.0	54.0	NA	1188.00	     1
35 x 30 cm.	NA	30.0	35.0	FALSE	NA	30.0	35.0	NA	1050.00	     1
45 x 16 cm.	NA	16.0	45.0	FALSE	NA	16.0	45.0	NA	 720.00	     1
48 x 28 cm.	NA	28.0	48.0	FALSE	NA	28.0	48.0	NA	1344.00	     1
10 x 10 cm.	NA	10.0	NA	FALSE	NA	10.0	10.0	NA	 100.00	     1
Broadside 39 x 30 cm.	1to	30.0	39.0	FALSE	1to	30.0	39.0	 0	1170.00	     1
