original	polished	Count
Charlestown [i.e., Charleston, S.C.]	Charleston SC	23
[Plymouth]	Plymouth	23
[Bristol?]	Bristol	23
[Dublin, Ireland]	Dublin	23
[Edinburgh, Scotland	Edinburgh	23
[Londres	London	22
[Calcutta]	Calcutta	22
Londre	London	22
[Charleston, S.C.?	Charleston SC	22
[Lancaster, Pa.]	Lancaster PA	22
Warren (Rhode-Island)	Warren RI	22
Baltimore [Md.]	Baltimore Md	22
[Wrexham]	Wrexham	22
Newcastle upon Tine	Newcastle	22
St. Jago de la Vega	st jago de la vega	22
Kingston, Jamaica	Kingston Jamaica	22
Printed at Amsterdam	Amsterdam	22
[Cambridge (England)	Cambridge	22
[Emden	Emden	22
Boston, Mass.	Boston MA	22
[Norwich?]	Norwich	21
[Derby?	Derby	21
[Whitehaven?	Whitehaven	21
Philadelphie	Philadelphia PA	21
Suffield [Conn.]	suffield conn	21
A Montreal	Montreal	21
[Windsor, Vt.?	Windsor Vt	21
[Fishkill, N.Y.	Fishkill NY	21
[Lexington, Ky.	Lexington Ky	21
Printed at Worcester, Massachusetts.	Worcester MA	21
[Hull?	Hull	21
[Winchester?	Winchester	21
Londres [i.e. The Hague]	The Hague	21
In the Savoy [London]	London	21
[Southampton?	Southampton	21
Londra [i.e. Leghorn]	leghorn	21
[Margate	Margate	21
Paris [i.e. London?]	London	21
Yorke	York	21
[London [England]	London	21
[London ?	London	20
[Sheffield]	Sheffield	20
Glasgow [Scotland]	Glasgow	20
[Holland?	Amsterdam	20
[Darlington?	Darlington	20
[Boston, Mass.]	Boston MA	20
[Cambridge, Mass.]	Cambridge MA	20
[Québec	Quebec	20
Printed in Boston	Boston	20
Knoxville [Tenn.]	Knoxville Tn	20
[Reading]	Reading	20
Londres [i.e. The Hague?]	The Hague	20
Paris [i.e. London]	London	20
Edinbourg	Edinburgh	20
[Stamford]	Stamford	20
[Derby	Derby	20
[Saint-Omer]	St Omer	20
Newcastle upon Tyne?]	Newcastle	20
Imprinted at York	York	20
Londres [i.e. Geneva?]	Geneva	19
[Stafford?	Stafford	19
[Winchester]	Winchester	19
Barbados	Bridgetown Barbados	19
[Leith]	Edinburgh	19
[Windsor]	Windsor	19
[Prynted at London	London	19
[Connecticut?	Litchfield CT	19
[England?	London	19
[Boston, Mass.	Boston MA	19
[Exeter, N.H.?	Exeter NH	19
[Falkirk]	Falkirk	19
[Boston?]	Boston	19
[Charlotte-Town	Charlottetown Pe	19
Printed at Philadelphia	Philadelphia PA	19
[Albany?	Albany NY	19
Portsmouth, in New-Hampshire	Portsmouth NH	19
Printed, typographically, at Boston	Boston	19
Dedham [Mass.]	Dedham MA	19
--Philadelphia	Philadelphia PA	19
Woodbridge	Woodbridge NJ	19
Londres [i.e. Brussels?]	Brussels	19
[Rochester?	Rochester	19
[Belfast?]	Belfast	19
Tot Rotterdam	Rotterdam	19
[Wesel?	Wesel	19
[England?]	London	18
[Perth?	Perth	18
[Hereford?	Hereford	18
[Leiden	Leiden	18
[Paris?]	Paris	18
[Antwerp]	Antwerp	18
[United States]	United States	18
Printed at New-York	New York NY	18
Alexandria [Va.]	AlexandriaVA	18
Haverhill [Mass.]	Haverhill MA	18
Petersburg [Va.]	Petersburg VA	18
[Concord, N.H.]	Concord NH	18
[Lewes?	Lewes	18
[L]ondon	London	18
[Madras	Madras India	18
[Hamilton?	hamilton	18
[Chichester?	chichester	18
Imprinted at Amsterdam	Amsterdam	18
Re-printed at Edinburgh	Edinburgh	18
Philadelphia, Pa.	Philadelphia PA	18
[Reading	Reading	17
[Stirling?]	Stirling	17
[Lancaster?	Lancaster PA	17
Newbury-port [Mass.]	Newburyport MA	17
[Portsmouth, N.H.?	Portsmouth NH	17
Printed at Portland [Me.]	Portland Me	17
Novi-Londini [New London, Conn.]	London	17
Chambersburg [Pa.]	Chambersburg PA	17
South-Carolina: Charles-Town	Charleston SC	17
A Londre	London	17
A Londres [i.e. Paris	Paris	17
Leipzig und Züllichau	Leipzig	17
Londres [i.e. Geneva]	Geneva	17
[King's Lynn	Kings Lynn	17
Londres [i.e. Liège?]	Liège	17
Reprinted at London	London	17
[Imprynted at Londo[n]	London	17
[Rothomagi	rothomagi	17
Imprimé à Londres	London	17
Printed at Kilkenny	Kilkenny	17
Bristol [England]	Bristol	17
[Wolverhampton]	Wolverhampton	16
Edinbvrgi	Edinburgh	16
[Derby]	Derby	16
Doway	Douai	16
Boston in New England	Boston MA	16
London-Derry	Londonderry	16
[Port-au-Prince	Port-au-Prince	16
St. John	St Johns Antiqua	16
[Northampton]	Northampton	16
[Portland, Me.]	Portland Me	16
[Bennington, Vt.]	Bennington Vt	16
Providence, in New-England	Providence RI	16
[Bennington, Vt.	Bennington Vt	16
Troy [N.Y.]	troy ny	16
State of New-Hampshire: Portsmouth	Portsmouth	16
--New-York	New York NY	16
Portsmouth--New-Hampshire	Portsmouth NH	16
Lonon [sic]	London	16
[Aberdeen?]	Aberdeen	16
Oxon.	Oxford	16
[Leicester]	Leicester	16
Parisiis	Paris	16
[Sherborne	Sherborne	16
[Lichfield?	Litchfield CT	16
London:;[London]	London	16
Imprinted in London	London	16
[Lo[n]dini	London	16
Cork [Ireland]	Cork	16
[Dublin, Ireland	Dublin	16
Londres [i.e. Amsterdam	Amsterdam	15
[Sunderland]	Sunderland	15
[Carlisle?	Carlisle	15
[Cheshire, Conn.	Chesire CT	15
[Newcastle-upon-Tyne	Newcastle	15
[Manchester?]	Manchester	15
[Liverpool?]	Liverpool	15
A Edimbourg	Edinburgh	15
[Newark	Newark	15
Boston in New-England.	Boston MA	15
[Lancaster, Pa.?	Lancaster PA	15
[Litchfield, Conn.]	Litchfield CT	15
Chatham [N.J.]	Chatham NJ	15
Whitehall [Pa.]	whitehall pa	15
N London [i.e., New London, Conn.]	New London CT	15
Boston: in N.E.	Boston	15
[Madras]	Madras India	15
[Worcester?]	Worcester	15
[Stabroek?	stabroek	15
A Londres [Paris?]	London	15
[ London ]	London	15
[Sheffield?	Sheffield	15
Londres [i.e.Paris?]	Paris	15
[Downpatrick	Downpatrick	15
Oxford?]	Oxford	15
At Rotterdam	Rotterdam	15
Manchester [England]	Manchester	15
[Taunton?	Taunton	14
Printed in London	London	14
London?	London	14
[Bath?]	Bath	14
[New Jersey?	Newark NJ	14
[New Jersey	Newark NJ	14
[Exeter, England]	Exeter	14
[Ephrata, Pa.?	Ephrata PA	14
[New York?]	New York NY	14
[Windsor, Vt.	Windsor Vt	14
[Watertown, Mass.?	Watertown MA	14
Washington [Pa.]	Washington PA	14
Danvers [Mass.]	Danvers MA	14
[Amherst, N.H.]	Amherst NH	14
