original	polished	Count
Howard, H.	Howard, H	11
Stanhope, Hugh.	Stanhope, Hugh	11
Forbes, William.	Forbes, William	11
Boad, Henry.	Boad, Henry	11
Colvil, Samuel.	Colvil, Samuel	11
Olivier, J.	Olivier, J	11
Roustan, Ant. Jaq.	Roustan, Ant. Jaq	11
Molesworth, Robert Molesworth	Molesworth, Robert	11
Telescope, Tom.	Telescope, Tom	11
Holder, Henry Evans.	Holder, Henry Evans	11
Catcott, A. S.	Catcott, A. S	11
Thompson, W.	Thompson, W	11
Clarke, William Augustus.	Clarke, William Augustus	11
Warne, Jonathan.	Warne, Jonathan	11
Claridge, John.	Claridge, John	11
Phillips, R.	Phillips, R	11
Dallas, Marmaduke.	Dallas, Marmaduke	11
Radcliff, Ebenezer.	Radcliff, Ebenezer	11
Battye, Thomas.	Battye, Thomas	11
Wylie, Robert.	Wylie, Robert	11
Silence, Timothy.	Silence, Timothy	11
Philipe, Thomas.	Philipe, Thomas	11
Smith, J.	Smith, J	11
McDouall, Patrick.	Mcdouall, Patrick	11
Voster, Elias.	Voster, Elias	11
Leslie, Antonius Leslie	Leslie, Antonius	11
Tyron, Richard.	Tyron, Richard	11
Cary, Walter.	Cary, Walter	11
Langley, Thomas.	Langley, Thomas	11
Kellison, Matthew.	Kellison, Matthew	11
Kaye, William.	Kaye, William	11
Lewis, M.	Lewis, M	11
Jelinger, Christopher.	Jelinger, Christopher	11
Hascard, Gregory.	Hascard, Gregory	11
Halley, William.	Halley, William	10
Philanglus.	Philanglus	10
Justice, Alexander.	Justice, Alexander	10
Bradshaw, Penelope.	Bradshaw, Penelope	10
Tully, T.	Tully, T	10
Spangenberg, Johann.	Spangenberg, Johann	10
Hayes, W.	Hayes, W	10
Gunston, Daniel.	Gunston, Daniel	10
Edwards, Oswald.	Edwards, Oswald	10
Hamilton, Douglas Hamilton	Hamilton, Douglas	10
Servan, J.-M.-A.	Servan, J.-m.-a	10
Fletcher, R.	Fletcher, R	10
English, T.	English, T	10
Willich, A. F. M.	Willich, A. F. M	10
Candidus.	Candidus	10
Panther, Abraham.	Panther, Abraham	10
Old Whig.	Old Whig	10
Philo-Patriae.	Philo-patriae	10
Countryman.	Countryman	10
Winlove, Solomon.	Winlove, Solomon	10
Calcott, Wellins.	Calcott, Wellins	10
Goupil, Pierre Étienne Auguste.	Goupil, Pierre Étienne Auguste	10
Boulton, Thomas.	Boulton, Thomas	10
Crosby, B.	Crosby, B	10
Anderson, Aeneas.	Anderson, Aeneas	10
Coustos, John.	Coustos, John	10
Strangehopes, Samuel.	Strangehopes, Samuel	10
Woodward, G. M.	Woodward, G. M	10
Graile, John.	Graile, John	10
Maude, T.	Maude, T	10
Howard, W.	Howard, W	10
Mabbut, George.	Mabbut, George	10
Claudianus, Claudius.	Claudianus, Claudius	10
Falkirk, John.	Falkirk, John	10
Verax.	Verax	10
Scott, John Robert.	Scott, John Robert	10
Patriot.	Patriot	10
Mortimer, Margaret.	Mortimer, Margaret	10
Nickolls, Robert Boucher.	Nickolls, Robert Boucher	10
Spectator.	Spectator	10
Grimston, William Grimston	Grimston, William	10
Cotes, John.	Cotes, John	10
Playstowe, Philip.	Playstowe, Philip	10
Brodum, William.	Brodum, William	10
Hardy, J.	Hardy, J	10
Winer, Robert.	Winer, Robert	10
Roch, Thomas.	Roch, Thomas	10
