pages.total	pages.original	count
733	vi,[1],8-264,269-700,703-723,[3]p., [60]leaves of plates (1folded)	3
132	[4],128p.	3
32	[4],28p	3
200	lxxii,127,[1]p.	3
24	22p.,plate	3
6	[2],4p.	3
4	2,[2]p.	3
164	[4],158,[2]p.	3
92	xi,[1],80p.	3
128	122,[2]p.,plates	3
84	[2],80,[2]p.	3
100	[8],91,[1]p.	3
624	xi,[1],608,44p.,plates	3
58	57,[1]p.	3
72	iv,67,[1]p.	3
164	[4],160p.	3
34	[4],30p.	3
96	[6],89,[1]p.	3
448	[16],329,[103]p.	3
48	[8],37,[3]p.	3
32	[8],23,[1]p.	3
108	[4],103,[1]p.	3
324	xii,309,[3]p.	3
324	[4],viii,311,[1]p.	3
68	[4],62,[2]p.	3
274	[4],xxxi,[1],236,4p.,plate	3
118	117,[1]p.	3
8	[2],6p.	3
NA	10v.	3
14	[2],12p.	3
2	Pp.[2]	3
456	xx,433,[3]p.	3
208	208p.	3
94	v,[3],82p.,plates	3
482	[2],479,[1]p.	3
476	[32],432,[8]p.,plates	3
72	[4],53,[11]p.,tables	3
384	xxiv,356p.,plates	3
144	[4],140p.	3
496	[4],xxiv,464p.,plates	3
98	viii,86,[2]p.,plate	3
188	[4],183,[1]p.	3
94	[4],89,[1]p.	3
276	275,[1]p.	3
112	[2],108,[2]p.	3
136	135,[1]p.	3
384	[12],370,[2]p.	3
624	[6],xxvi,575,[17]p.	3
82	[4], 77, [1] p.	3
102	102p.	3
124	[2],122p.	3
228	xix,[1],207,[1]p.	3
108	iv,104p.	3
64	62,[2]p.	3
480	476p.,plates	3
112	viii,104p.	3
120	x,109,[1]p.	3
88	iv,83,[1]p.	3
16	[2],10p.,plates	3
168	167,[1]p.	3
332	[12],317,[1]p.,plate	3
108	viii,100p.	3
308	[4],304p.	3
74	[2],70,[2]p.	3
36	[4],30,[2]p.	3
32	[8],24p.	3
60	[4],xxiv,32p.	3
280	[8],261,[11]p.	3
360	[4],356p.	3
50	[2],47,[1]p.	3
240	240p.	3
114	viii,[1],6-109,[1]p.	3
220	[4],215,[1]p.	3
152	[8],143,[1]p.	3
108	[4],104p.	3
156	156p.	3
120	[4],116p.	3
110	[2],106,[2]p.	3
376	xii,342,[18]p.,plates	3
40	[4],34,[2]p.	3
180	179,[1]p.	3
116	[4],111,[1]p.	3
74	71,[1]p.,plate	3
288	[8],272,[8]p.	3
292	292p.	3
106	[2],104p.	3
68	[10],65[i.e.57],[1]p.	3
240	239,[1]p.	3
94	92p.,plate	3
144	[4],139,[1]p.	3
20	[8],12p.	3
188	xvi,171,[1]p.	3
108	iv,103,[1]p.	3
74	[4],68p.,plate	3
184	xx,147,[17]p.	3
352	v.1(xxvi,[4],viii,[10],312p.)	3
52	[2],5-53,[1]p.	3
4	2v.,tables	3
64	vii,[1],56p.	3
124	viii,116p.	3
124	[4],120p.	3
792	xiv,767,[7]p.,plates	3
136	[2],133,[1]p.	3
168	viii,160p.	3
76	74,[2]p.	3
84	81,[3]p.	3
110	viii,102p.	3
336	[24],312p.	3
216	[16],199,[1]p.	3
248	[24],188,[36]p.	3
46	[2],43,[1]p.	3
72	[8],63,[1]p.	3
94	[4],90p.	3
112	108p.,plates	3
358	xxvi,[2],330p.	3
34	[2],31,[1]p.	3
110	[26],84p.	3
12	[2],5-14p.	3
28	[2],5-29,[1]p.	3
146	146p.	3
360	[8],352p.	3
36	[6], 29, [1] p.	3
82	[4],78p.	3
82	[4],77,[1]p.	3
88	[6],81,[1]p.	3
120	[12],107,[1]p.	3
54	53,[1]p.	3
66	[4],62p.	3
36	iv,30,[2]p.	3
777	[4],348,[3],370-770p.	3
