ESTC	geonameid	name	asciiname	latitude	longitude	country.code	admin1	admin2	admin3	admin4	population	timezone
Chesire Ct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chester	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chesterfield	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cincinnati Oh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cirencester	2652995	Cirencester	Cirencester	51.71927	-1.97145	GB	ENG	E6	23UC		16214	Europe/London
Clonmel	2965353	Cluain Meala	Cluain Meala	52.355	-7.70389	IE	M	26			17394	Europe/Dublin
Colchester	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cologne	5021807	Cologne	Cologne	50.93333	6.95	US	MN	019			1519	America/Chicago
Columbia S.C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Concord Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Concord N.H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Copenhagen	3076084	Grygov	Grygov	55.67594	12.56553	EE	18	0605			1072	Europe/Tallinn
Cork	2965140	Cork	Cork	51.89797	-8.47061	IE	M	04			190384	Europe/Dublin
Coventry	5221637	Coventry	Coventry	52.40656	-1.51217	US	RI	003			35525	America/New_York
Danbury Ct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danvers Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Darlington	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daventry	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dedham Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Delft	2757345	Delft	Delft	52.00667	4.35556	NL	11	0503			95060	Europe/Amsterdam
Deptford	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Derby	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Devizes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Doncaster	2168607	Doncaster	Doncaster	53.52285	-1.13116	AU	07	24210			18359	Australia/Melbourne
Dort	2756669	Dordrecht	Dordrecht	51.81	4.67361	NL	11	0505			119260	Europe/Amsterdam
Douai	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dover	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Downpatrick	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dresden	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Drogheda	2964661	Drogheda	Drogheda	53.71889	-6.34778	IE	L	19			33441	Europe/Dublin
Dublin	2964574	Dublin	Dublin	53.33306	-6.24889	IE	L	33			1024027	Europe/Dublin
Dumfries	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dumfries Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dunbar	4557629	Dunbar	Dunbar	56.00062	-2.51418	US	PA	051			1042	America/New_York
Dundee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Durham	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
East Molesey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Easton Md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Edenton N.C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Edinburgh	2646032	Irvine	Irvine	55.953	-3.208	GB	ENG	E4	22UG		109414	Europe/London
Egham	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Elizabethtown Md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Emden	3076084	Grygov	Grygov	53.3675	7.2078	EE	18	0605			1072	Europe/Tallinn
Ennis	2964405	Ennis	Ennis	52.84361	-8.98639	IE	M	03			24427	Europe/Dublin
Ephrata Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eton	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Europe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Evesham	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Exeter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Falkirk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Florence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Frankfurt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Frederick Md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fredericton	5957776	Fredericton	Fredericton	45.94541	-66.66558	CA	04				52337	America/Moncton
Fredicksburg Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fryeburg Me	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gainsborough	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Galway	2964180	Gaillimh	Gaillimh	53.27194	-9.04889	IE	C	10			70686	Europe/Dublin
Gateshead	10103929	Gateshead	Gateshead	-32.98208	151.69188	AU	02	14650			3574	Australia/Sydney
Gaunt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gdansk	3099434	Gdańsk	Gdansk	54.35205	18.64637	PL	82	2261	226101		461865	Europe/Warsaw
Geneva	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Germantown Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
